 --- Cosmological Parameters --- 
	 H0: 2.2685e-18 (1/s) = 70.0000 (km/s/Mpc) 
	 OmegaM: 3.0000e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 7.0000e-01 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 9.2061e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, d_L, d_LOS, d_trans, d_ang, d_mod, H(z), rho_c(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99927504e-05, 9.63999389e-01, 9.99977500e-05, 3.30497218e+00, 4.28308130e-01, 4.28265304e-01, 4.28265304e-01, 4.28222481e-01, 2.31587816e+01, 7.00031502e+01, 9.20692748e-30
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02799660e-04, 9.63996582e-01, 1.02804944e-04, 3.30496937e+00, 4.40333078e-01, 4.40287813e-01, 4.40287813e-01, 4.40242553e-01, 2.32189066e+01, 7.00032387e+01, 9.20695075e-30
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05685357e-04, 9.63993696e-01, 1.05690942e-04, 3.30496649e+00, 4.52695659e-01, 4.52647818e-01, 4.52647818e-01, 4.52599981e-01, 2.32790317e+01, 7.00033296e+01, 9.20697467e-30
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08652052e-04, 9.63990730e-01, 1.08657955e-04, 3.30496352e+00, 4.65405356e-01, 4.65354790e-01, 4.65354790e-01, 4.65304230e-01, 2.33391569e+01, 7.00034231e+01, 9.20699926e-30
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11702018e-04, 9.63987680e-01, 1.11708257e-04, 3.30496047e+00, 4.78471916e-01, 4.78418471e-01, 4.78418471e-01, 4.78365033e-01, 2.33992823e+01, 7.00035192e+01, 9.20702454e-30
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14837593e-04, 9.63984544e-01, 1.14844187e-04, 3.30495733e+00, 4.91905360e-01, 4.91848873e-01, 4.91848873e-01, 4.91792392e-01, 2.34594078e+01, 7.00036180e+01, 9.20705053e-30
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18061178e-04, 9.63981320e-01, 1.18068148e-04, 3.30495411e+00, 5.05715993e-01, 5.05656290e-01, 5.05656290e-01, 5.05596593e-01, 2.35195334e+01, 7.00037196e+01, 9.20707725e-30
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21375245e-04, 9.63978006e-01, 1.21382611e-04, 3.30495079e+00, 5.19914407e-01, 5.19851304e-01, 5.19851304e-01, 5.19788209e-01, 2.35796593e+01, 7.00038240e+01, 9.20710472e-30
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24782331e-04, 9.63974599e-01, 1.24790116e-04, 3.30494739e+00, 5.34511492e-01, 5.34444796e-01, 5.34444796e-01, 5.34378109e-01, 2.36397852e+01, 7.00039314e+01, 9.20713296e-30
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28285047e-04, 9.63971097e-01, 1.28293276e-04, 3.30494388e+00, 5.49518444e-01, 5.49447952e-01, 5.49447952e-01, 5.49377468e-01, 2.36999114e+01, 7.00040418e+01, 9.20716199e-30
