 --- Cosmological Parameters --- 
	 H0: 2.1791e-18 (1/s) = 67.2400 (km/s/Mpc) 
	 OmegaM: 3.1600e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.8400e-01 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.4944e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, d_L, d_LOS, d_trans, d_ang, d_mod, H(z), rho_c(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99926304e-05, 9.50036346e-01, 9.99976300e-05, 3.23590299e+00, 4.45888357e-01, 4.45843773e-01, 4.45843773e-01, 4.45799193e-01, 2.32461307e+01, 6.72431874e+01, 8.49524947e-30
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02799533e-04, 9.50033539e-01, 1.02804817e-04, 3.23590019e+00, 4.58406863e-01, 4.58359740e-01, 4.58359740e-01, 4.58312622e-01, 2.33062556e+01, 6.72432769e+01, 8.49527208e-30
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05685223e-04, 9.50030653e-01, 1.05690808e-04, 3.23589730e+00, 4.71276859e-01, 4.71227053e-01, 4.71227053e-01, 4.71177253e-01, 2.33663806e+01, 6.72433689e+01, 8.49529532e-30
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08651910e-04, 9.50027686e-01, 1.08657813e-04, 3.23589433e+00, 4.84508216e-01, 4.84455575e-01, 4.84455575e-01, 4.84402939e-01, 2.34265057e+01, 6.72434635e+01, 8.49531922e-30
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11701868e-04, 9.50024636e-01, 1.11708107e-04, 3.23589128e+00, 4.98111083e-01, 4.98055445e-01, 4.98055445e-01, 4.97999812e-01, 2.34866310e+01, 6.72435607e+01, 8.49534379e-30
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14837435e-04, 9.50021501e-01, 1.14844029e-04, 3.23588815e+00, 5.12095892e-01, 5.12037086e-01, 5.12037086e-01, 5.11978287e-01, 2.35467565e+01, 6.72436607e+01, 8.49536905e-30
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18061011e-04, 9.50018277e-01, 1.18067981e-04, 3.23588492e+00, 5.26473369e-01, 5.26411215e-01, 5.26411215e-01, 5.26349069e-01, 2.36068820e+01, 6.72437635e+01, 8.49539502e-30
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21375068e-04, 9.50014963e-01, 1.21382434e-04, 3.23588161e+00, 5.41254543e-01, 5.41188850e-01, 5.41188850e-01, 5.41123165e-01, 2.36670078e+01, 6.72438691e+01, 8.49542172e-30
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24782144e-04, 9.50011556e-01, 1.24789930e-04, 3.23587820e+00, 5.56450749e-01, 5.56381316e-01, 5.56381316e-01, 5.56311892e-01, 2.37271337e+01, 6.72439778e+01, 8.49544917e-30
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28284850e-04, 9.50008053e-01, 1.28293079e-04, 3.23587470e+00, 5.72073645e-01, 5.72000259e-01, 5.72000259e-01, 5.71926882e-01, 2.37872597e+01, 6.72440895e+01, 8.49547739e-30
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31885869e-04, 9.50004452e-01, 1.31894566e-04, 3.23587110e+00, 5.88135212e-01, 5.88057648e-01, 5.88057648e-01, 5.87980094e-01, 2.38473859e+01, 6.72442043e+01, 8.49550640e-30
1.35601511e-04, 5.88869955e-05, 9.99864417e-01, 1.35587960e-04, 9.50000750e-01, 1.35597153e-04, 3.23586739e+00, 6.04647771e-01, 6.04565791e-01, 6.04565791e-01, 6.04483822e-01, 2.39075123e+01, 6.72443223e+01, 8.49553622e-30
1.39408283e-04, 6.05400281e-05, 9.99860611e-01, 1.39393960e-04, 9.49996944e-01, 1.39403676e-04, 3.23586359e+00, 6.21623989e-01, 6.21537341e-01, 6.21537341e-01, 6.21450706e-01, 2.39676388e+01, 6.72444437e+01, 8.49556689e-30
1.43321923e-04, 6.22394601e-05, 9.99856699e-01, 1.43306785e-04, 9.49993031e-01, 1.43317054e-04, 3.23585967e+00, 6.39076886e-01, 6.38985305e-01, 6.38985305e-01, 6.38893738e-01, 2.40277656e+01, 6.72445684e+01, 8.49559841e-30
1.47345431e-04, 6.39865937e-05, 9.99852676e-01, 1.47329432e-04, 9.49989009e-01, 1.47340285e-04, 3.23585565e+00, 6.57019851e-01, 6.56923056e-01, 6.56923056e-01, 6.56826276e-01, 2.40878925e+01, 6.72446967e+01, 8.49563082e-30
1.51481892e-04, 6.57827676e-05, 9.99848541e-01, 1.51464982e-04, 9.49984873e-01, 1.51476454e-04, 3.23585151e+00, 6.75466648e-01, 6.75364342e-01, 6.75364342e-01, 6.75262052e-01, 2.41480195e+01, 6.72448286e+01, 8.49566414e-30
1.55734477e-04, 6.76293582e-05, 9.99844290e-01, 1.55716604e-04, 9.49980622e-01, 1.55728729e-04, 3.23584726e+00, 6.94431427e-01, 6.94323297e-01, 6.94323297e-01, 6.94215184e-01, 2.42081468e+01, 6.72449641e+01, 8.49569840e-30
1.60106446e-04, 6.95277803e-05, 9.99839919e-01, 1.60087556e-04, 9.49976251e-01, 1.60100371e-04, 3.23584289e+00, 7.13928737e-01, 7.13814450e-01, 7.13814450e-01, 7.13700182e-01, 2.42682743e+01, 6.72451035e+01, 8.49573361e-30
1.64601150e-04, 7.14794886e-05, 9.99835426e-01, 1.64581184e-04, 9.49971757e-01, 1.64594729e-04, 3.23583840e+00, 7.33973535e-01, 7.33852741e-01, 7.33852741e-01, 7.33731968e-01, 2.43284020e+01, 6.72452468e+01, 8.49576982e-30
1.69222035e-04, 7.34859785e-05, 9.99830807e-01, 1.69200933e-04, 9.49967137e-01, 1.69215248e-04, 3.23583378e+00, 7.54581198e-01, 7.54453527e-01, 7.54453527e-01, 7.54325879e-01, 2.43885299e+01, 6.72453941e+01, 8.49580704e-30
1.73972643e-04, 7.55487874e-05, 9.99826058e-01, 1.73950339e-04, 9.49962388e-01, 1.73965470e-04, 3.23582902e+00, 7.75767536e-01, 7.75632597e-01, 7.75632597e-01, 7.75497681e-01, 2.44486580e+01, 6.72455456e+01, 8.49584531e-30
1.78856616e-04, 7.76694958e-05, 9.99821175e-01, 1.78833042e-04, 9.49957505e-01, 1.78849034e-04, 3.23582414e+00, 7.97548803e-01, 7.97406181e-01, 7.97406181e-01, 7.97263585e-01, 2.45087863e+01, 6.72457013e+01, 8.49588466e-30
1.83877698e-04, 7.98497285e-05, 9.99816156e-01, 1.83852782e-04, 9.49952485e-01, 1.83869685e-04, 3.23581912e+00, 8.19941709e-01, 8.19790968e-01, 8.19790968e-01, 8.19640254e-01, 2.45689149e+01, 6.72458613e+01, 8.49592510e-30
1.89039738e-04, 8.20911560e-05, 9.99810996e-01, 1.89013403e-04, 9.49947325e-01, 1.89031268e-04, 3.23581396e+00, 8.42963435e-01, 8.42804112e-01, 8.42804112e-01, 8.42644819e-01, 2.46290437e+01, 6.72460259e+01, 8.49596669e-30
1.94346693e-04, 8.43954955e-05, 9.99805691e-01, 1.94318859e-04, 9.49942019e-01, 1.94337741e-04, 3.23580865e+00, 8.66631645e-01, 8.66463250e-01, 8.66463250e-01, 8.66294889e-01, 2.46891727e+01, 6.72461951e+01, 8.49600944e-30
1.99802631e-04, 8.67645125e-05, 9.99800237e-01, 1.99773213e-04, 9.49936565e-01, 1.99793169e-04, 3.23580320e+00, 8.90964497e-01, 8.90786515e-01, 8.90786515e-01, 8.90608569e-01, 2.47493020e+01, 6.72463690e+01, 8.49605339e-30
2.05411735e-04, 8.92000219e-05, 9.99794630e-01, 2.05380642e-04, 9.49930958e-01, 2.05401734e-04, 3.23579759e+00, 9.15980661e-01, 9.15792547e-01, 9.15792547e-01, 9.15604471e-01, 2.48094315e+01, 6.72465479e+01, 8.49609858e-30
2.11178304e-04, 9.17038897e-05, 9.99788866e-01, 2.11145441e-04, 9.49925193e-01, 2.11167735e-04, 3.23579182e+00, 9.41699334e-01, 9.41500509e-01, 9.41500509e-01, 9.41301727e-01, 2.48695613e+01, 6.72467317e+01, 8.49614503e-30
2.17106760e-04, 9.42780341e-05, 9.99782940e-01, 2.17072026e-04, 9.49919266e-01, 2.17095589e-04, 3.23578589e+00, 9.68140248e-01, 9.67930104e-01, 9.67930104e-01, 9.67720005e-01, 2.49296914e+01, 6.72469207e+01, 8.49619280e-30
2.23201647e-04, 9.69244272e-05, 9.99776848e-01, 2.23164935e-04, 9.49913173e-01, 2.23189839e-04, 3.23577980e+00, 9.95323693e-01, 9.95101584e-01, 9.95101584e-01, 9.94879526e-01, 2.49898217e+01, 6.72471150e+01, 8.49624190e-30
2.29467637e-04, 9.96450962e-05, 9.99770585e-01, 2.29428835e-04, 9.49906909e-01, 2.29455157e-04, 3.23577354e+00, 1.02327053e+00, 1.02303577e+00, 1.02303577e+00, 1.02280107e+00, 2.50499523e+01, 6.72473148e+01, 8.49629238e-30
2.35909533e-04, 1.02442125e-04, 9.99764146e-01, 2.35868522e-04, 9.49900470e-01, 2.35896343e-04, 3.23576709e+00, 1.05200220e+00, 1.05175408e+00, 1.05175408e+00, 1.05150602e+00, 2.51100832e+01, 6.72475202e+01, 8.49634428e-30
2.42532274e-04, 1.05317657e-04, 9.99757527e-01, 2.42488929e-04, 9.49893849e-01, 2.42518333e-04, 3.23576047e+00, 1.08154076e+00, 1.08127851e+00, 1.08127851e+00, 1.08101633e+00, 2.51702144e+01, 6.72477314e+01, 8.49639763e-30
2.49340937e-04, 1.08273895e-04, 9.99750721e-01, 2.49295124e-04, 9.49887043e-01, 2.49326202e-04, 3.23575366e+00, 1.11190887e+00, 1.11163169e+00, 1.11163169e+00, 1.11135458e+00, 2.52303460e+01, 6.72479484e+01, 8.49645249e-30
2.56340741e-04, 1.11313103e-04, 9.99743725e-01, 2.56292320e-04, 9.49880046e-01, 2.56325167e-04, 3.23574667e+00, 1.14312984e+00, 1.14283688e+00, 1.14283688e+00, 1.14254400e+00, 2.52904778e+01, 6.72481716e+01, 8.49650889e-30
2.63537052e-04, 1.14437609e-04, 9.99736532e-01, 2.63485874e-04, 9.49872852e-01, 2.63520591e-04, 3.23573947e+00, 1.17522763e+00, 1.17491799e+00, 1.17491799e+00, 1.17460844e+00, 2.53506100e+01, 6.72484011e+01, 8.49656687e-30
2.70935387e-04, 1.17649806e-04, 9.99729138e-01, 2.70881295e-04, 9.49865457e-01, 2.70917988e-04, 3.23573207e+00, 1.20822687e+00, 1.20789961e+00, 1.20789961e+00, 1.20757243e+00, 2.54107425e+01, 6.72486370e+01, 8.49662647e-30
2.78541416e-04, 1.20952156e-04, 9.99721536e-01, 2.78484246e-04, 9.49857854e-01, 2.78523028e-04, 3.23572447e+00, 1.24215290e+00, 1.24180701e+00, 1.24180701e+00, 1.24146121e+00, 2.54708753e+01, 6.72488795e+01, 8.49668776e-30
2.86360972e-04, 1.24347187e-04, 9.99713721e-01, 2.86300546e-04, 9.49850038e-01, 2.86341536e-04, 3.23571665e+00, 1.27703175e+00, 1.27666617e+00, 1.27666617e+00, 1.27630068e+00, 2.55310085e+01, 6.72491288e+01, 8.49675076e-30
