 --- Cosmological Parameters --- 
	 H0: 2.2047e-18 (1/s) = 68.0300 (km/s/Mpc) 
	 OmegaM: 3.0850e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.9150e-01 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.6952e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, d_L, d_LOS, d_trans, d_ang, d_mod, H(z), rho_c(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99926867e-05, 9.56480028e-01, 9.99976862e-05, 3.26767161e+00, 4.40710716e-01, 4.40666649e-01, 4.40666649e-01, 4.40622587e-01, 2.32207681e+01, 6.80331483e+01, 8.69602324e-30
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02799593e-04, 9.56477221e-01, 1.02804877e-04, 3.26766881e+00, 4.53083864e-01, 4.53037288e-01, 4.53037288e-01, 4.52990718e-01, 2.32808930e+01, 6.80332367e+01, 8.69604584e-30
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05685286e-04, 9.56474335e-01, 1.05690871e-04, 3.26766592e+00, 4.65804422e-01, 4.65755194e-01, 4.65755194e-01, 4.65705972e-01, 2.33410180e+01, 6.80333276e+01, 8.69606907e-30
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08651977e-04, 9.56471369e-01, 1.08657879e-04, 3.26766295e+00, 4.78882146e-01, 4.78830116e-01, 4.78830116e-01, 4.78778091e-01, 2.34011432e+01, 6.80334210e+01, 8.69609295e-30
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11701939e-04, 9.56468319e-01, 1.11708178e-04, 3.26765990e+00, 4.92327065e-01, 4.92272073e-01, 4.92272073e-01, 4.92217087e-01, 2.34612686e+01, 6.80335171e+01, 8.69611751e-30
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14837509e-04, 9.56465183e-01, 1.14844103e-04, 3.26765677e+00, 5.06149493e-01, 5.06091370e-01, 5.06091370e-01, 5.06033253e-01, 2.35213940e+01, 6.80336158e+01, 8.69614275e-30
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18061089e-04, 9.56461959e-01, 1.18068059e-04, 3.26765354e+00, 5.20360030e-01, 5.20298598e-01, 5.20298598e-01, 5.20237173e-01, 2.35815197e+01, 6.80337173e+01, 8.69616870e-30
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21375151e-04, 9.56458645e-01, 1.21382517e-04, 3.26765023e+00, 5.34969577e-01, 5.34904647e-01, 5.34904647e-01, 5.34839725e-01, 2.36416454e+01, 6.80338217e+01, 8.69619538e-30
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24782231e-04, 9.56455238e-01, 1.24790017e-04, 3.26764682e+00, 5.49989338e-01, 5.49920711e-01, 5.49920711e-01, 5.49852093e-01, 2.37017714e+01, 6.80339290e+01, 8.69622281e-30
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28284942e-04, 9.56451736e-01, 1.28293171e-04, 3.26764332e+00, 5.65430834e-01, 5.65358300e-01, 5.65358300e-01, 5.65285776e-01, 2.37618974e+01, 6.80340393e+01, 8.69625101e-30
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31885967e-04, 9.56448135e-01, 1.31894664e-04, 3.26763972e+00, 5.81305909e-01, 5.81229246e-01, 5.81229246e-01, 5.81152592e-01, 2.38220237e+01, 6.80341527e+01, 8.69628000e-30
1.35601511e-04, 5.88869955e-05, 9.99864417e-01, 1.35588064e-04, 9.56444432e-01, 1.35597256e-04, 3.26763601e+00, 5.97626741e-01, 5.97545712e-01, 5.97545712e-01, 5.97464695e-01, 2.38821501e+01, 6.80342693e+01, 8.69630981e-30
1.39408283e-04, 6.05400281e-05, 9.99860611e-01, 1.39394070e-04, 9.56440626e-01, 1.39403786e-04, 3.26763221e+00, 6.14405847e-01, 6.14320206e-01, 6.14320206e-01, 6.14234576e-01, 2.39422767e+01, 6.80343892e+01, 8.69634045e-30
1.43321923e-04, 6.22394601e-05, 9.99856699e-01, 1.43306901e-04, 9.56436714e-01, 1.43317170e-04, 3.26762829e+00, 6.31656100e-01, 6.31565582e-01, 6.31565582e-01, 6.31475078e-01, 2.40024035e+01, 6.80345124e+01, 8.69637196e-30
1.47345431e-04, 6.39865937e-05, 9.99852676e-01, 1.47329554e-04, 9.56432691e-01, 1.47340408e-04, 3.26762427e+00, 6.49390731e-01, 6.49295060e-01, 6.49295060e-01, 6.49199403e-01, 2.40625304e+01, 6.80346391e+01, 8.69640435e-30
1.51481892e-04, 6.57827676e-05, 9.99848541e-01, 1.51465111e-04, 9.56428555e-01, 1.51476583e-04, 3.26762013e+00, 6.67623344e-01, 6.67522227e-01, 6.67522227e-01, 6.67421124e-01, 2.41226576e+01, 6.80347693e+01, 8.69643764e-30
1.55734477e-04, 6.76293582e-05, 9.99844290e-01, 1.55716741e-04, 9.56424304e-01, 1.55728866e-04, 3.26761588e+00, 6.86367927e-01, 6.86261052e-01, 6.86261052e-01, 6.86154194e-01, 2.41827849e+01, 6.80349032e+01, 8.69647188e-30
1.60106446e-04, 6.95277803e-05, 9.99839919e-01, 1.60087700e-04, 9.56419933e-01, 1.60100515e-04, 3.26761151e+00, 7.05638858e-01, 7.05525899e-01, 7.05525899e-01, 7.05412957e-01, 2.42429124e+01, 6.80350409e+01, 8.69650707e-30
1.64601150e-04, 7.14794886e-05, 9.99835426e-01, 1.64581337e-04, 9.56415439e-01, 1.64594881e-04, 3.26760702e+00, 7.25450921e-01, 7.25331531e-01, 7.25331531e-01, 7.25212160e-01, 2.43030402e+01, 6.80351824e+01, 8.69654325e-30
1.69222035e-04, 7.34859785e-05, 9.99830807e-01, 1.69201094e-04, 9.56410819e-01, 1.69215409e-04, 3.26760239e+00, 7.45819315e-01, 7.45693128e-01, 7.45693128e-01, 7.45566961e-01, 2.43631681e+01, 6.80353280e+01, 8.69658045e-30
1.73972643e-04, 7.55487874e-05, 9.99826058e-01, 1.73950509e-04, 9.56406070e-01, 1.73965640e-04, 3.26759764e+00, 7.66759667e-01, 7.66626295e-01, 7.66626295e-01, 7.66492946e-01, 2.44232963e+01, 6.80354775e+01, 8.69661870e-30
1.78856616e-04, 7.76694958e-05, 9.99821175e-01, 1.78833222e-04, 9.56401187e-01, 1.78849214e-04, 3.26759276e+00, 7.88288041e-01, 7.88147076e-01, 7.88147076e-01, 7.88006136e-01, 2.44834247e+01, 6.80356313e+01, 8.69665801e-30
1.83877698e-04, 7.98497285e-05, 9.99816156e-01, 1.83852972e-04, 9.56396168e-01, 1.83869875e-04, 3.26758774e+00, 8.10420955e-01, 8.10271964e-01, 8.10271964e-01, 8.10123000e-01, 2.45435533e+01, 6.80357895e+01, 8.69669843e-30
1.89039738e-04, 8.20911560e-05, 9.99810996e-01, 1.89013604e-04, 9.56391007e-01, 1.89031469e-04, 3.26758258e+00, 8.33175388e-01, 8.33017915e-01, 8.33017915e-01, 8.32860471e-01, 2.46036822e+01, 6.80359520e+01, 8.69673999e-30
1.94346693e-04, 8.43954955e-05, 9.99805691e-01, 1.94319071e-04, 9.56385701e-01, 1.94337953e-04, 3.26757727e+00, 8.56568800e-01, 8.56402361e-01, 8.56402361e-01, 8.56235955e-01, 2.46638113e+01, 6.80361191e+01, 8.69678271e-30
1.99802631e-04, 8.67645125e-05, 9.99800237e-01, 1.99773437e-04, 9.56380247e-01, 1.99793394e-04, 3.26757182e+00, 8.80619140e-01, 8.80443225e-01, 8.80443225e-01, 8.80267345e-01, 2.47239406e+01, 6.80362909e+01, 8.69682664e-30
2.05411735e-04, 8.92000219e-05, 9.99794630e-01, 2.05380879e-04, 9.56374640e-01, 2.05401972e-04, 3.26756621e+00, 9.05344860e-01, 9.05158930e-01, 9.05158930e-01, 9.04973038e-01, 2.47840702e+01, 6.80364676e+01, 8.69687179e-30
2.11178304e-04, 9.17038897e-05, 9.99788866e-01, 2.11145692e-04, 9.56368875e-01, 2.11167986e-04, 3.26756044e+00, 9.30764933e-01, 9.30568417e-01, 9.30568417e-01, 9.30371943e-01, 2.48442001e+01, 6.80366492e+01, 8.69691822e-30
2.17106760e-04, 9.42780341e-05, 9.99782940e-01, 2.17072291e-04, 9.56362948e-01, 2.17095854e-04, 3.26755451e+00, 9.56898865e-01, 9.56691160e-01, 9.56691160e-01, 9.56483501e-01, 2.49043302e+01, 6.80368359e+01, 8.69696595e-30
2.23201647e-04, 9.69244272e-05, 9.99776848e-01, 2.23165215e-04, 9.56356855e-01, 2.23190120e-04, 3.26754842e+00, 9.83766708e-01, 9.83547178e-01, 9.83547178e-01, 9.83327698e-01, 2.49644606e+01, 6.80370278e+01, 8.69701502e-30
2.29467637e-04, 9.96450962e-05, 9.99770585e-01, 2.29429131e-04, 9.56350591e-01, 2.29455453e-04, 3.26754215e+00, 1.01138908e+00, 1.01115705e+00, 1.01115705e+00, 1.01092508e+00, 2.50245913e+01, 6.80372251e+01, 8.69706547e-30
2.35909533e-04, 1.02442125e-04, 9.99764146e-01, 2.35868835e-04, 9.56344152e-01, 2.35896656e-04, 3.26753571e+00, 1.03978718e+00, 1.03954194e+00, 1.03954194e+00, 1.03929676e+00, 2.50847223e+01, 6.80374280e+01, 8.69711733e-30
2.42532274e-04, 1.05317657e-04, 9.99757527e-01, 2.42489260e-04, 9.56337531e-01, 2.42518664e-04, 3.26752909e+00, 1.06898280e+00, 1.06872360e+00, 1.06872360e+00, 1.06846446e+00, 2.51448536e+01, 6.80376366e+01, 8.69717065e-30
2.49340937e-04, 1.08273895e-04, 9.99750721e-01, 2.49295474e-04, 9.56330725e-01, 2.49326551e-04, 3.26752228e+00, 1.09899834e+00, 1.09872438e+00, 1.09872438e+00, 1.09845049e+00, 2.52049852e+01, 6.80378510e+01, 8.69722547e-30
