 --- Cosmological Parameters --- 
	 H0: 2.1561e-18 (1/s) = 66.5300 (km/s/Mpc) 
	 OmegaM: 3.2300e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.7700e-01 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.3160e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, d_L, d_LOS, d_trans, d_ang, d_mod, H(z), rho_c(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99925780e-05, 9.44175792e-01, 9.99975775e-05, 3.20716525e+00, 4.50646586e-01, 4.50601526e-01, 4.50601526e-01, 4.50556471e-01, 2.32691804e+01, 6.65332236e+01, 8.31680820e-30
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02799478e-04, 9.44172986e-01, 1.02804762e-04, 3.20716244e+00, 4.63298674e-01, 4.63251049e-01, 4.63251049e-01, 4.63203428e-01, 2.33293053e+01, 6.65333141e+01, 8.31683083e-30
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05685164e-04, 9.44170100e-01, 1.05690749e-04, 3.20715956e+00, 4.76306003e-01, 4.76255666e-01, 4.76255666e-01, 4.76205334e-01, 2.33894303e+01, 6.65334072e+01, 8.31685409e-30
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08651848e-04, 9.44167133e-01, 1.08657751e-04, 3.20715659e+00, 4.89678549e-01, 4.89625346e-01, 4.89625346e-01, 4.89572149e-01, 2.34495554e+01, 6.65335028e+01, 8.31687800e-30
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11701803e-04, 9.44164083e-01, 1.11708042e-04, 3.20715354e+00, 5.03426568e-01, 5.03370336e-01, 5.03370336e-01, 5.03314110e-01, 2.35096807e+01, 6.65336012e+01, 8.31690259e-30
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14837365e-04, 9.44160948e-01, 1.14843959e-04, 3.20715040e+00, 5.17560604e-01, 5.17501171e-01, 5.17501171e-01, 5.17441744e-01, 2.35698061e+01, 6.65337023e+01, 8.31692787e-30
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18060938e-04, 9.44157724e-01, 1.18067907e-04, 3.20714718e+00, 5.32091499e-01, 5.32028681e-01, 5.32028681e-01, 5.31965872e-01, 2.36299316e+01, 6.65338062e+01, 8.31695385e-30
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21374990e-04, 9.44154410e-01, 1.21382357e-04, 3.20714386e+00, 5.47030396e-01, 5.46964003e-01, 5.46964003e-01, 5.46897617e-01, 2.36900573e+01, 6.65339131e+01, 8.31698057e-30
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24782062e-04, 9.44151003e-01, 1.24789848e-04, 3.20714046e+00, 5.62388755e-01, 5.62318581e-01, 5.62318581e-01, 5.62248416e-01, 2.37501831e+01, 6.65340230e+01, 8.31700804e-30
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28284763e-04, 9.44147500e-01, 1.28292992e-04, 3.20713695e+00, 5.78178355e-01, 5.78104186e-01, 5.78104186e-01, 5.78030026e-01, 2.38103091e+01, 6.65341359e+01, 8.31703628e-30
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31885778e-04, 9.44143899e-01, 1.31894475e-04, 3.20713335e+00, 5.94411307e-01, 5.94332915e-01, 5.94332915e-01, 5.94254534e-01, 2.38704353e+01, 6.65342520e+01, 8.31706531e-30
1.35601511e-04, 5.88869955e-05, 9.99864417e-01, 1.35587864e-04, 9.44140197e-01, 1.35597057e-04, 3.20712965e+00, 6.11100063e-01, 6.11017208e-01, 6.11017208e-01, 6.10934365e-01, 2.39305616e+01, 6.65343714e+01, 8.31709515e-30
1.39408283e-04, 6.05400281e-05, 9.99860611e-01, 1.39393858e-04, 9.44136391e-01, 1.39403574e-04, 3.20712584e+00, 6.28257424e-01, 6.28169852e-01, 6.28169852e-01, 6.28082292e-01, 2.39906881e+01, 6.65344941e+01, 8.31712584e-30
1.43321923e-04, 6.22394601e-05, 9.99856699e-01, 1.43306677e-04, 9.44132478e-01, 1.43316946e-04, 3.20712193e+00, 6.45896550e-01, 6.45803992e-01, 6.45803992e-01, 6.45711448e-01, 2.40508148e+01, 6.65346203e+01, 8.31715738e-30
1.47345431e-04, 6.39865937e-05, 9.99852676e-01, 1.47329318e-04, 9.44128456e-01, 1.47340171e-04, 3.20711791e+00, 6.64030973e-01, 6.63933145e-01, 6.63933145e-01, 6.63835332e-01, 2.41109417e+01, 6.65347500e+01, 8.31718981e-30
1.51481892e-04, 6.57827676e-05, 9.99848541e-01, 1.51464862e-04, 9.44124320e-01, 1.51476333e-04, 3.20711377e+00, 6.82674602e-01, 6.82571205e-01, 6.82571205e-01, 6.82467823e-01, 2.41710687e+01, 6.65348834e+01, 8.31722316e-30
1.55734477e-04, 6.76293582e-05, 9.99844290e-01, 1.55716477e-04, 9.44120069e-01, 1.55728602e-04, 3.20710952e+00, 7.01841740e-01, 7.01732456e-01, 7.01732456e-01, 7.01623189e-01, 2.42311960e+01, 6.65350205e+01, 8.31725743e-30
1.60106446e-04, 6.95277803e-05, 9.99839919e-01, 1.60087421e-04, 9.44115698e-01, 1.60100236e-04, 3.20710515e+00, 7.21547090e-01, 7.21431584e-01, 7.21431584e-01, 7.21316097e-01, 2.42913234e+01, 6.65351615e+01, 8.31729268e-30
1.64601150e-04, 7.14794886e-05, 9.99835426e-01, 1.64581042e-04, 9.44111204e-01, 1.64594587e-04, 3.20710065e+00, 7.41805769e-01, 7.41683687e-01, 7.41683687e-01, 7.41561625e-01, 2.43514510e+01, 6.65353064e+01, 8.31732891e-30
1.69222035e-04, 7.34859785e-05, 9.99830807e-01, 1.69200782e-04, 9.44106584e-01, 1.69215098e-04, 3.20709603e+00, 7.62633318e-01, 7.62504286e-01, 7.62504286e-01, 7.62375275e-01, 2.44115789e+01, 6.65354554e+01, 8.31736616e-30
1.73972643e-04, 7.55487874e-05, 9.99826058e-01, 1.73950180e-04, 9.44101835e-01, 1.73965311e-04, 3.20709128e+00, 7.84045716e-01, 7.83909337e-01, 7.83909337e-01, 7.83772982e-01, 2.44717069e+01, 6.65356085e+01, 8.31740445e-30
1.78856616e-04, 7.76694958e-05, 9.99821175e-01, 1.78832874e-04, 9.44096952e-01, 1.78848866e-04, 3.20708640e+00, 8.06059389e-01, 8.05915245e-01, 8.05915245e-01, 8.05771128e-01, 2.45318352e+01, 6.65357660e+01, 8.31744382e-30
1.83877698e-04, 7.98497285e-05, 9.99816156e-01, 1.83852605e-04, 9.44091932e-01, 1.83869507e-04, 3.20708138e+00, 8.28691226e-01, 8.28538877e-01, 8.28538877e-01, 8.28386555e-01, 2.45919637e+01, 6.65359279e+01, 8.31748430e-30
