 --- Cosmological Parameters --- 
	 H0: 2.1791e-18 (1/s) = 67.2400 (km/s/Mpc) 
	 OmegaM: 3.3000e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.7000e-01 
	 OmegaK: 0.0000e+00 
		 w0: -7.2700e-01 
		 wa: -1.0500e+00 
	 rho_crit: 8.4944e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99911541e-05, 9.32458634e-01, 9.99961535e-05, 3.17754526e+00, 6.72451730e+01
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02797973e-04, 9.32455827e-01, 1.02803257e-04, 3.17754246e+00, 6.72453182e+01
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05683574e-04, 9.32452941e-01, 1.05689158e-04, 3.17753957e+00, 6.72454675e+01
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08650167e-04, 9.32449975e-01, 1.08656070e-04, 3.17753660e+00, 6.72456210e+01
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11700026e-04, 9.32446925e-01, 1.11706265e-04, 3.17753355e+00, 6.72457788e+01
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14835487e-04, 9.32443789e-01, 1.14842081e-04, 3.17753042e+00, 6.72459410e+01
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18058953e-04, 9.32440566e-01, 1.18065922e-04, 3.17752719e+00, 6.72461077e+01
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21372892e-04, 9.32437252e-01, 1.21380259e-04, 3.17752388e+00, 6.72462792e+01
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24779845e-04, 9.32433845e-01, 1.24787630e-04, 3.17752047e+00, 6.72464555e+01
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28282420e-04, 9.32430342e-01, 1.28290649e-04, 3.17751697e+00, 6.72466367e+01
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31883301e-04, 9.32426741e-01, 1.31891998e-04, 3.17751337e+00, 6.72468230e+01
1.35601511e-04, 5.88869955e-05, 9.99864417e-01, 1.35585246e-04, 9.32423040e-01, 1.35594438e-04, 3.17750967e+00, 6.72470145e+01
1.39408283e-04, 6.05400281e-05, 9.99860611e-01, 1.39391092e-04, 9.32419234e-01, 1.39400807e-04, 3.17750586e+00, 6.72472114e+01
1.43321923e-04, 6.22394601e-05, 9.99856699e-01, 1.43303753e-04, 9.32415321e-01, 1.43314022e-04, 3.17750195e+00, 6.72474139e+01
1.47345431e-04, 6.39865937e-05, 9.99852676e-01, 1.47326227e-04, 9.32411299e-01, 1.47337080e-04, 3.17749792e+00, 6.72476220e+01
1.51481892e-04, 6.57827676e-05, 9.99848541e-01, 1.51461595e-04, 9.32407163e-01, 1.51473066e-04, 3.17749379e+00, 6.72478359e+01
1.55734477e-04, 6.76293582e-05, 9.99844290e-01, 1.55713024e-04, 9.32402912e-01, 1.55725149e-04, 3.17748953e+00, 6.72480559e+01
1.60106446e-04, 6.95277803e-05, 9.99839919e-01, 1.60083772e-04, 9.32398541e-01, 1.60096586e-04, 3.17748516e+00, 6.72482820e+01
1.64601150e-04, 7.14794886e-05, 9.99835426e-01, 1.64577185e-04, 9.32394048e-01, 1.64590729e-04, 3.17748067e+00, 6.72485145e+01
1.69222035e-04, 7.34859785e-05, 9.99830807e-01, 1.69196706e-04, 9.32389428e-01, 1.69211021e-04, 3.17747605e+00, 6.72487535e+01
1.73972643e-04, 7.55487874e-05, 9.99826058e-01, 1.73945872e-04, 9.32384679e-01, 1.73961002e-04, 3.17747130e+00, 6.72489993e+01
1.78856616e-04, 7.76694958e-05, 9.99821175e-01, 1.78828321e-04, 9.32379796e-01, 1.78844312e-04, 3.17746642e+00, 6.72492519e+01
1.83877698e-04, 7.98497285e-05, 9.99816156e-01, 1.83847792e-04, 9.32374777e-01, 1.83864693e-04, 3.17746140e+00, 6.72495116e+01
1.89039738e-04, 8.20911560e-05, 9.99810996e-01, 1.89008129e-04, 9.32369617e-01, 1.89025993e-04, 3.17745623e+00, 6.72497786e+01
1.94346693e-04, 8.43954955e-05, 9.99805691e-01, 1.94313284e-04, 9.32364311e-01, 1.94332165e-04, 3.17745093e+00, 6.72500531e+01
1.99802631e-04, 8.67645125e-05, 9.99800237e-01, 1.99767321e-04, 9.32358857e-01, 1.99787276e-04, 3.17744547e+00, 6.72503353e+01
2.05411735e-04, 8.92000219e-05, 9.99794630e-01, 2.05374414e-04, 9.32353250e-01, 2.05395506e-04, 3.17743986e+00, 6.72506254e+01
2.11178304e-04, 9.17038897e-05, 9.99788866e-01, 2.11138859e-04, 9.32347486e-01, 2.11161152e-04, 3.17743410e+00, 6.72509236e+01
2.17106760e-04, 9.42780341e-05, 9.99782940e-01, 2.17065070e-04, 9.32341560e-01, 2.17088631e-04, 3.17742817e+00, 6.72512303e+01
2.23201647e-04, 9.69244272e-05, 9.99776848e-01, 2.23157583e-04, 9.32335467e-01, 2.23182486e-04, 3.17742208e+00, 6.72515455e+01
2.29467637e-04, 9.96450962e-05, 9.99770585e-01, 2.29421064e-04, 9.32329204e-01, 2.29447385e-04, 3.17741581e+00, 6.72518696e+01
2.35909533e-04, 1.02442125e-04, 9.99764146e-01, 2.35860309e-04, 9.32322764e-01, 2.35888128e-04, 3.17740937e+00, 6.72522028e+01
2.42532274e-04, 1.05317657e-04, 9.99757527e-01, 2.42480248e-04, 9.32316145e-01, 2.42509651e-04, 3.17740275e+00, 6.72525453e+01
2.49340937e-04, 1.08273895e-04, 9.99750721e-01, 2.49285950e-04, 9.32309339e-01, 2.49317026e-04, 3.17739594e+00, 6.72528975e+01
2.56340741e-04, 1.11313103e-04, 9.99743725e-01, 2.56282623e-04, 9.32302342e-01, 2.56315469e-04, 3.17738894e+00, 6.72532595e+01
2.63537052e-04, 1.14437609e-04, 9.99736532e-01, 2.63475626e-04, 9.32295149e-01, 2.63510341e-04, 3.17738175e+00, 6.72536317e+01
2.70935387e-04, 1.17649806e-04, 9.99729138e-01, 2.70870464e-04, 9.32287754e-01, 2.70907155e-04, 3.17737435e+00, 6.72540143e+01
2.78541416e-04, 1.20952156e-04, 9.99721536e-01, 2.78472797e-04, 9.32280152e-01, 2.78511577e-04, 3.17736675e+00, 6.72544077e+01
2.86360972e-04, 1.24347187e-04, 9.99713721e-01, 2.86288447e-04, 9.32272336e-01, 2.86329434e-04, 3.17735893e+00, 6.72548121e+01
2.94400048e-04, 1.27837499e-04, 9.99705687e-01, 2.94323394e-04, 9.32264301e-01, 2.94366715e-04, 3.17735089e+00, 6.72552279e+01
3.02664806e-04, 1.31425767e-04, 9.99697427e-01, 3.02583789e-04, 9.32256041e-01, 3.02629575e-04, 3.17734263e+00, 6.72556553e+01
3.11161583e-04, 1.35114738e-04, 9.99688935e-01, 3.11075954e-04, 9.32247549e-01, 3.11124347e-04, 3.17733414e+00, 6.72560947e+01
3.19896892e-04, 1.38907238e-04, 9.99680205e-01, 3.19806388e-04, 9.32238818e-01, 3.19857536e-04, 3.17732540e+00, 6.72565465e+01
3.28877429e-04, 1.42806171e-04, 9.99671231e-01, 3.28781773e-04, 9.32229843e-01, 3.28835832e-04, 3.17731642e+00, 6.72570110e+01
3.38110078e-04, 1.46814523e-04, 9.99662004e-01, 3.38008978e-04, 9.32220616e-01, 3.38066114e-04, 3.17730719e+00, 6.72574884e+01
3.47601918e-04, 1.50935364e-04, 9.99652519e-01, 3.47495063e-04, 9.32211130e-01, 3.47555451e-04, 3.17729770e+00, 6.72579793e+01
3.57360225e-04, 1.55171849e-04, 9.99642767e-01, 3.57247286e-04, 9.32201377e-01, 3.57311113e-04, 3.17728795e+00, 6.72584840e+01
3.67392478e-04, 1.59527223e-04, 9.99632742e-01, 3.67273111e-04, 9.32191352e-01, 3.67340570e-04, 3.17727792e+00, 6.72590028e+01
3.77706369e-04, 1.64004821e-04, 9.99622436e-01, 3.77580208e-04, 9.32181045e-01, 3.77651507e-04, 3.17726761e+00, 6.72595362e+01
3.88309805e-04, 1.68608072e-04, 9.99611841e-01, 3.88176461e-04, 9.32170448e-01, 3.88251819e-04, 3.17725701e+00, 6.72600845e+01
3.99210913e-04, 1.73340499e-04, 9.99600948e-01, 3.99069979e-04, 9.32159555e-01, 3.99149626e-04, 3.17724611e+00, 6.72606482e+01
4.10418050e-04, 1.78205728e-04, 9.99589750e-01, 4.10269094e-04, 9.32148356e-01, 4.10353275e-04, 3.17723491e+00, 6.72612278e+01
4.21939808e-04, 1.83207482e-04, 9.99578238e-01, 4.21782373e-04, 9.32136842e-01, 4.21871345e-04, 3.17722339e+00, 6.72618236e+01
4.33785019e-04, 1.88349591e-04, 9.99566403e-01, 4.33618622e-04, 9.32125006e-01, 4.33712659e-04, 3.17721155e+00, 6.72624361e+01
