 --- Cosmological Parameters --- 
	 H0: 2.2027e-18 (1/s) = 67.9700 (km/s/Mpc) 
	 OmegaM: 3.3000e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.7000e-01 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.6799e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99925255e-05, 9.38456743e-01, 9.99975250e-05, 3.17926369e+00, 6.79733648e+01
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02799422e-04, 9.38453936e-01, 1.02804706e-04, 3.17926088e+00, 6.79734592e+01
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05685105e-04, 9.38451050e-01, 1.05690690e-04, 3.17925799e+00, 6.79735564e+01
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08651786e-04, 9.38448084e-01, 1.08657689e-04, 3.17925503e+00, 6.79736562e+01
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11701737e-04, 9.38445034e-01, 1.11707976e-04, 3.17925197e+00, 6.79737589e+01
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14837296e-04, 9.38441898e-01, 1.14843890e-04, 3.17924884e+00, 6.79738644e+01
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18060865e-04, 9.38438675e-01, 1.18067834e-04, 3.17924562e+00, 6.79739729e+01
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21374913e-04, 9.38435361e-01, 1.21382279e-04, 3.17924230e+00, 6.79740844e+01
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24781980e-04, 9.38431954e-01, 1.24789766e-04, 3.17923889e+00, 6.79741991e+01
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28284677e-04, 9.38428451e-01, 1.28292906e-04, 3.17923539e+00, 6.79743170e+01
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31885686e-04, 9.38424850e-01, 1.31894384e-04, 3.17923179e+00, 6.79744382e+01
1.35601511e-04, 5.88869955e-05, 9.99864417e-01, 1.35587767e-04, 9.38421148e-01, 1.35596960e-04, 3.17922809e+00, 6.79745628e+01
1.39408283e-04, 6.05400281e-05, 9.99860611e-01, 1.39393756e-04, 9.38417342e-01, 1.39403472e-04, 3.17922428e+00, 6.79746909e+01
1.43321923e-04, 6.22394601e-05, 9.99856699e-01, 1.43306569e-04, 9.38413429e-01, 1.43316838e-04, 3.17922037e+00, 6.79748226e+01
1.47345431e-04, 6.39865937e-05, 9.99852676e-01, 1.47329204e-04, 9.38409406e-01, 1.47340057e-04, 0.00000000e+00, 6.79749580e+01
1.51481892e-04, 6.57827676e-05, 9.99848541e-01, 1.51464741e-04, 9.38405271e-01, 1.51476213e-04, 3.17921221e+00, 6.79750972e+01
1.55734477e-04, 6.76293582e-05, 9.99844290e-01, 1.55716350e-04, 9.38401019e-01, 1.55728474e-04, 3.17920795e+00, 6.79752403e+01
1.60106446e-04, 6.95277803e-05, 9.99839919e-01, 1.60087287e-04, 9.38396648e-01, 1.60100102e-04, 3.17920358e+00, 6.79753875e+01
1.64601150e-04, 7.14794886e-05, 9.99835426e-01, 1.64580900e-04, 9.38392155e-01, 1.64594444e-04, 3.17919909e+00, 6.79755387e+01
1.69222035e-04, 7.34859785e-05, 9.99830807e-01, 1.69200632e-04, 9.38387535e-01, 1.69214948e-04, 3.17919447e+00, 6.79756942e+01
1.73972643e-04, 7.55487874e-05, 9.99826058e-01, 1.73950021e-04, 9.38382786e-01, 1.73965152e-04, 3.17918972e+00, 6.79758541e+01
1.78856616e-04, 7.76694958e-05, 9.99821175e-01, 1.78832707e-04, 9.38377903e-01, 1.78848698e-04, 3.17918483e+00, 6.79760185e+01
1.83877698e-04, 7.98497285e-05, 9.99816156e-01, 1.83852427e-04, 9.38372883e-01, 1.83869330e-04, 3.17917981e+00, 6.79761874e+01
1.89039738e-04, 8.20911560e-05, 9.99810996e-01, 1.89013028e-04, 9.38367723e-01, 1.89030893e-04, 3.17917465e+00, 6.79763612e+01
1.94346693e-04, 8.43954955e-05, 9.99805691e-01, 1.94318462e-04, 9.38362417e-01, 1.94337344e-04, 3.17916935e+00, 6.79765398e+01
1.99802631e-04, 8.67645125e-05, 9.99800237e-01, 1.99772793e-04, 9.38356963e-01, 1.99792750e-04, 3.17916389e+00, 6.79767234e+01
2.05411735e-04, 8.92000219e-05, 9.99794630e-01, 2.05380199e-04, 9.38351355e-01, 2.05401291e-04, 3.17915828e+00, 6.79769122e+01
2.11178304e-04, 9.17038897e-05, 9.99788866e-01, 2.11144973e-04, 9.38345591e-01, 2.11167266e-04, 3.17915252e+00, 6.79771063e+01
2.17106760e-04, 9.42780341e-05, 9.99782940e-01, 2.17071531e-04, 9.38339664e-01, 2.17095094e-04, 3.17914659e+00, 6.79773058e+01
2.23201647e-04, 9.69244272e-05, 9.99776848e-01, 2.23164412e-04, 9.38333571e-01, 2.23189316e-04, 3.17914049e+00, 6.79775109e+01
2.29467637e-04, 9.96450962e-05, 9.99770585e-01, 2.29428282e-04, 9.38327307e-01, 2.29454604e-04, 3.17913423e+00, 6.79777218e+01
2.35909533e-04, 1.02442125e-04, 9.99764146e-01, 2.35867938e-04, 9.38320868e-01, 2.35895758e-04, 3.17912779e+00, 6.79779386e+01
2.42532274e-04, 1.05317657e-04, 9.99757527e-01, 2.42488311e-04, 9.38314247e-01, 2.42517715e-04, 3.17912117e+00, 6.79781615e+01
2.49340937e-04, 1.08273895e-04, 9.99750721e-01, 2.49294471e-04, 9.38307441e-01, 2.49325549e-04, 3.17911436e+00, 6.79783907e+01
2.56340741e-04, 1.11313103e-04, 9.99743725e-01, 2.56291630e-04, 9.38300444e-01, 2.56324477e-04, 3.17910736e+00, 6.79786263e+01
2.63537052e-04, 1.14437609e-04, 9.99736532e-01, 2.63485145e-04, 9.38293250e-01, 2.63519862e-04, 3.17910016e+00, 6.79788685e+01
2.70935387e-04, 1.17649806e-04, 9.99729138e-01, 2.70880525e-04, 9.38285855e-01, 2.70917218e-04, 3.17909277e+00, 6.79791175e+01
2.78541416e-04, 1.20952156e-04, 9.99721536e-01, 2.78483431e-04, 9.38278252e-01, 2.78522213e-04, 3.17908516e+00, 6.79793735e+01
2.86360972e-04, 1.24347187e-04, 9.99713721e-01, 2.86299686e-04, 9.38270436e-01, 2.86340675e-04, 3.17907734e+00, 6.79796367e+01
2.94400048e-04, 1.27837499e-04, 9.99705687e-01, 2.94335272e-04, 9.38262400e-01, 2.94378595e-04, 3.17906930e+00, 6.79799073e+01
3.02664806e-04, 1.31425767e-04, 9.99697427e-01, 3.02596343e-04, 9.38254139e-01, 3.02642132e-04, 3.17906104e+00, 6.79801855e+01
3.11161583e-04, 1.35114738e-04, 9.99688935e-01, 3.11089222e-04, 9.38245646e-01, 3.11137618e-04, 3.17905255e+00, 6.79804715e+01
3.19896892e-04, 1.38907238e-04, 9.99680205e-01, 3.19820412e-04, 9.38236915e-01, 3.19871562e-04, 3.17904381e+00, 6.79807656e+01
