 --- Cosmological Parameters --- 
	 H0: 2.2047e-18 (1/s) = 68.0300 (km/s/Mpc) 
	 OmegaM: 3.3000e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.7000e-01 
	 OmegaK: 0.0000e+00 
		 w0: -8.2700e-01 
		 wa: -7.5000e-01 
	 rho_crit: 8.6952e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99916564e-05, 9.37085409e-01, 9.99966559e-05, 3.18353586e+00, 6.80345502e+01
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02798504e-04, 9.37082602e-01, 1.02803788e-04, 3.18353306e+00, 6.80346779e+01
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05684135e-04, 9.37079716e-01, 1.05689720e-04, 3.18353017e+00, 6.80348092e+01
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08650760e-04, 9.37076750e-01, 1.08656663e-04, 3.18352720e+00, 6.80349443e+01
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11700653e-04, 9.37073700e-01, 1.11706892e-04, 3.18352415e+00, 6.80350831e+01
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14836150e-04, 9.37070564e-01, 1.14842744e-04, 3.18352102e+00, 6.80352257e+01
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18059653e-04, 9.37067341e-01, 1.18066623e-04, 3.18351779e+00, 6.80353724e+01
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21373633e-04, 9.37064027e-01, 1.21380999e-04, 3.18351448e+00, 6.80355233e+01
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24780627e-04, 9.37060620e-01, 1.24788413e-04, 3.18351107e+00, 6.80356783e+01
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28283247e-04, 9.37057117e-01, 1.28291475e-04, 3.18350757e+00, 6.80358377e+01
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31884175e-04, 9.37053516e-01, 1.31892872e-04, 3.18350397e+00, 6.80360016e+01
