 --- Cosmological Parameters --- 
	 H0: 2.1561e-18 (1/s) = 66.5300 (km/s/Mpc) 
	 OmegaM: 3.0500e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.9500e-01 
	 OmegaK: 0.0000e+00 
		 w0: -6.5000e-01 
		 wa: -1.2700e+00 
	 rho_crit: 8.3160e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99908891e-05, 9.49191844e-01, 9.99958885e-05, 3.27613928e+00, 6.65354709e+01
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02797693e-04, 9.49189037e-01, 1.02802977e-04, 3.27613647e+00, 6.65356245e+01
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05683278e-04, 9.49186151e-01, 1.05688862e-04, 3.27613358e+00, 6.65357824e+01
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08649854e-04, 9.49183185e-01, 1.08655757e-04, 3.27613062e+00, 6.65359447e+01
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11699695e-04, 9.49180135e-01, 1.11705934e-04, 3.27612757e+00, 6.65361116e+01
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14835138e-04, 9.49176999e-01, 1.14841732e-04, 3.27612443e+00, 6.65362831e+01
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18058584e-04, 9.49173776e-01, 1.18065553e-04, 3.27612121e+00, 6.65364595e+01
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21372502e-04, 9.49170462e-01, 1.21379868e-04, 3.27611789e+00, 6.65366408e+01
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24779432e-04, 9.49167055e-01, 1.24787218e-04, 3.27611449e+00, 6.65368272e+01
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28281984e-04, 9.49163553e-01, 1.28290212e-04, 3.27611098e+00, 6.65370189e+01
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31882840e-04, 9.49159952e-01, 1.31891537e-04, 3.27610738e+00, 6.65372159e+01
1.35601511e-04, 5.88869955e-05, 9.99864417e-01, 1.35584759e-04, 9.49156250e-01, 1.35593951e-04, 3.27610368e+00, 6.65374185e+01
1.39408283e-04, 6.05400281e-05, 9.99860611e-01, 1.39390577e-04, 9.49152444e-01, 1.39400292e-04, 3.27609987e+00, 6.65376267e+01
1.43321923e-04, 6.22394601e-05, 9.99856699e-01, 1.43303209e-04, 9.49148531e-01, 1.43313477e-04, 3.27609596e+00, 6.65378408e+01
1.47345431e-04, 6.39865937e-05, 9.99852676e-01, 1.47325652e-04, 9.49144509e-01, 1.47336505e-04, 3.27609194e+00, 6.65380609e+01
1.51481892e-04, 6.57827676e-05, 9.99848541e-01, 1.51460987e-04, 9.49140374e-01, 1.51472458e-04, 3.27608780e+00, 6.65382872e+01
1.55734477e-04, 6.76293582e-05, 9.99844290e-01, 1.55712382e-04, 9.49136122e-01, 1.55724506e-04, 3.27608355e+00, 6.65385198e+01
1.60106446e-04, 6.95277803e-05, 9.99839919e-01, 1.60083093e-04, 9.49131752e-01, 1.60095907e-04, 3.27607918e+00, 6.65387589e+01
1.64601150e-04, 7.14794886e-05, 9.99835426e-01, 1.64576467e-04, 9.49127258e-01, 1.64590012e-04, 3.27607468e+00, 6.65390048e+01
1.69222035e-04, 7.34859785e-05, 9.99830807e-01, 1.69195947e-04, 9.49122639e-01, 1.69210262e-04, 3.27607006e+00, 6.65392576e+01
1.73972643e-04, 7.55487874e-05, 9.99826058e-01, 1.73945070e-04, 9.49117890e-01, 1.73960200e-04, 3.27606531e+00, 6.65395174e+01
1.78856616e-04, 7.76694958e-05, 9.99821175e-01, 1.78827473e-04, 9.49113007e-01, 1.78843465e-04, 3.27606043e+00, 6.65397846e+01
1.83877698e-04, 7.98497285e-05, 9.99816156e-01, 1.83846896e-04, 9.49107988e-01, 1.83863798e-04, 3.27605541e+00, 6.65400592e+01
1.89039738e-04, 8.20911560e-05, 9.99810996e-01, 1.89007182e-04, 9.49102827e-01, 1.89025046e-04, 3.27605025e+00, 6.65403416e+01
1.94346693e-04, 8.43954955e-05, 9.99805691e-01, 1.94312284e-04, 9.49097522e-01, 1.94331165e-04, 3.27604494e+00, 6.65406319e+01
1.99802631e-04, 8.67645125e-05, 9.99800237e-01, 1.99766263e-04, 9.49092068e-01, 1.99786219e-04, 3.27603949e+00, 6.65409303e+01
2.05411735e-04, 8.92000219e-05, 9.99794630e-01, 2.05373297e-04, 9.49086461e-01, 2.05394389e-04, 3.27603388e+00, 6.65412371e+01
2.11178304e-04, 9.17038897e-05, 9.99788866e-01, 2.11137678e-04, 9.49080697e-01, 2.11159971e-04, 3.27602811e+00, 6.65415525e+01
2.17106760e-04, 9.42780341e-05, 9.99782940e-01, 2.17063821e-04, 9.49074771e-01, 2.17087383e-04, 3.27602218e+00, 6.65418768e+01
2.23201647e-04, 9.69244272e-05, 9.99776848e-01, 2.23156264e-04, 9.49068678e-01, 2.23181166e-04, 3.27601609e+00, 6.65422102e+01
2.29467637e-04, 9.96450962e-05, 9.99770585e-01, 2.29419670e-04, 9.49062415e-01, 2.29445990e-04, 3.27600983e+00, 6.65425529e+01
