 --- Cosmological Parameters --- 
	 H0: 2.2027e-18 (1/s) = 67.9700 (km/s/Mpc) 
	 OmegaM: 3.0690e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.9310e-01 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.6799e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99926987e-05, 9.57877501e-01, 9.99976982e-05, 3.27458524e+00, 6.79731292e+01
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02799605e-04, 9.57874694e-01, 1.02804890e-04, 3.27458243e+00, 6.79732171e+01
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05685299e-04, 9.57871808e-01, 1.05690884e-04, 3.27457955e+00, 6.79733074e+01
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08651991e-04, 9.57868841e-01, 1.08657894e-04, 3.27457658e+00, 6.79734003e+01
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11701954e-04, 9.57865791e-01, 1.11708193e-04, 3.27457353e+00, 6.79734957e+01
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14837525e-04, 9.57862656e-01, 1.14844119e-04, 0.00000000e+00, 6.79735939e+01
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18061106e-04, 9.57859432e-01, 1.18068076e-04, 3.27456717e+00, 6.79736948e+01
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21375168e-04, 9.57856118e-01, 1.21382535e-04, 3.27456385e+00, 6.79737985e+01
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24782250e-04, 9.57852711e-01, 1.24790036e-04, 3.27456045e+00, 6.79739052e+01
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28284962e-04, 9.57849208e-01, 1.28293191e-04, 3.27455694e+00, 6.79740148e+01
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31885988e-04, 9.57845607e-01, 1.31894685e-04, 3.27455334e+00, 6.79741275e+01
1.35601511e-04, 5.88869955e-05, 9.99864417e-01, 1.35588086e-04, 9.57841905e-01, 1.35597279e-04, 3.27454964e+00, 6.79742434e+01
1.39408283e-04, 6.05400281e-05, 9.99860611e-01, 1.39394093e-04, 9.57838099e-01, 1.39403809e-04, 3.27454583e+00, 6.79743626e+01
1.43321923e-04, 6.22394601e-05, 9.99856699e-01, 1.43306925e-04, 9.57834186e-01, 1.43317194e-04, 3.27454192e+00, 6.79744850e+01
1.47345431e-04, 6.39865937e-05, 9.99852676e-01, 1.47329580e-04, 9.57830164e-01, 1.47340434e-04, 3.27453790e+00, 6.79746110e+01
1.51481892e-04, 6.57827676e-05, 9.99848541e-01, 1.51465139e-04, 9.57826028e-01, 1.51476610e-04, 3.27453376e+00, 6.79747404e+01
1.55734477e-04, 6.76293582e-05, 9.99844290e-01, 1.55716770e-04, 9.57821776e-01, 1.55728895e-04, 3.27452951e+00, 6.79748735e+01
1.60106446e-04, 6.95277803e-05, 9.99839919e-01, 1.60087731e-04, 9.57817405e-01, 1.60100546e-04, 3.27452514e+00, 6.79750103e+01
1.64601150e-04, 7.14794886e-05, 9.99835426e-01, 1.64581369e-04, 9.57812912e-01, 1.64594914e-04, 3.27452064e+00, 6.79751510e+01
1.69222035e-04, 7.34859785e-05, 9.99830807e-01, 1.69201128e-04, 9.57808292e-01, 1.69215444e-04, 3.27451602e+00, 6.79752956e+01
1.73972643e-04, 7.55487874e-05, 9.99826058e-01, 1.73950546e-04, 9.57803543e-01, 1.73965676e-04, 3.27451127e+00, 6.79754443e+01
1.78856616e-04, 7.76694958e-05, 9.99821175e-01, 1.78833261e-04, 9.57798660e-01, 1.78849253e-04, 3.27450639e+00, 6.79755972e+01
1.83877698e-04, 7.98497285e-05, 9.99816156e-01, 1.83853013e-04, 9.57793640e-01, 1.83869915e-04, 3.27450137e+00, 6.79757543e+01
1.89039738e-04, 8.20911560e-05, 9.99810996e-01, 1.89013647e-04, 9.57788480e-01, 1.89031512e-04, 3.27449620e+00, 6.79759159e+01
1.94346693e-04, 8.43954955e-05, 9.99805691e-01, 1.94319117e-04, 9.57783174e-01, 1.94337998e-04, 3.27449090e+00, 6.79760820e+01
1.99802631e-04, 8.67645125e-05, 9.99800237e-01, 1.99773485e-04, 9.57777720e-01, 1.99793442e-04, 3.27448544e+00, 6.79762528e+01
