 --- Cosmological Parameters --- 
	 H0: 2.1791e-18 (1/s) = 67.2400 (km/s/Mpc) 
	 OmegaM: 3.1600e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.8400e-01 
	 OmegaK: 0.0000e+00 
		 w0: -7.2700e-01 
		 wa: -1.0500e+00 
	 rho_crit: 8.4944e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99912304e-05, 9.43948630e-01, 9.99962298e-05, 3.23456715e+00, 6.72450703e+01
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02798054e-04, 9.43945823e-01, 1.02803338e-04, 3.23456435e+00, 6.72452126e+01
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05683659e-04, 9.43942937e-01, 1.05689244e-04, 3.23456146e+00, 6.72453590e+01
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08650257e-04, 9.43939971e-01, 1.08656160e-04, 3.23455849e+00, 6.72455094e+01
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11700121e-04, 9.43936921e-01, 1.11706360e-04, 3.23455544e+00, 6.72456641e+01
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14835588e-04, 9.43933785e-01, 1.14842182e-04, 3.23455231e+00, 6.72458231e+01
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18059059e-04, 9.43930562e-01, 1.18066029e-04, 3.23454909e+00, 6.72459865e+01
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21373005e-04, 9.43927248e-01, 1.21380371e-04, 3.23454577e+00, 6.72461546e+01
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24779964e-04, 9.43923841e-01, 1.24787749e-04, 3.23454236e+00, 6.72463273e+01
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28282545e-04, 9.43920338e-01, 1.28290774e-04, 3.23453886e+00, 6.72465050e+01
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31883433e-04, 9.43916737e-01, 1.31892131e-04, 3.23453526e+00, 6.72466876e+01
1.35601511e-04, 5.88869955e-05, 9.99864417e-01, 1.35585386e-04, 9.43913035e-01, 1.35594579e-04, 3.23453156e+00, 6.72468753e+01
1.39408283e-04, 6.05400281e-05, 9.99860611e-01, 1.39391240e-04, 9.43909230e-01, 1.39400956e-04, 3.23452775e+00, 6.72470683e+01
1.43321923e-04, 6.22394601e-05, 9.99856699e-01, 1.43303910e-04, 9.43905317e-01, 1.43314178e-04, 3.23452384e+00, 6.72472667e+01
1.47345431e-04, 6.39865937e-05, 9.99852676e-01, 1.47326393e-04, 9.43901294e-01, 1.47337246e-04, 3.23451981e+00, 6.72474707e+01
1.51481892e-04, 6.57827676e-05, 9.99848541e-01, 1.51461770e-04, 9.43897159e-01, 1.51473241e-04, 3.23451568e+00, 6.72476804e+01
1.55734477e-04, 6.76293582e-05, 9.99844290e-01, 1.55713209e-04, 9.43892908e-01, 1.55725334e-04, 3.23451143e+00, 6.72478960e+01
1.60106446e-04, 6.95277803e-05, 9.99839919e-01, 1.60083967e-04, 9.43888537e-01, 1.60096782e-04, 3.23450705e+00, 6.72481176e+01
1.64601150e-04, 7.14794886e-05, 9.99835426e-01, 1.64577392e-04, 9.43884043e-01, 1.64590936e-04, 3.23450256e+00, 6.72483455e+01
1.69222035e-04, 7.34859785e-05, 9.99830807e-01, 1.69196924e-04, 9.43879424e-01, 1.69211239e-04, 3.23449794e+00, 6.72485798e+01
1.73972643e-04, 7.55487874e-05, 9.99826058e-01, 1.73946103e-04, 9.43874675e-01, 1.73961233e-04, 3.23449319e+00, 6.72488206e+01
1.78856616e-04, 7.76694958e-05, 9.99821175e-01, 1.78828565e-04, 9.43869792e-01, 1.78844556e-04, 3.23448831e+00, 6.72490682e+01
1.83877698e-04, 7.98497285e-05, 9.99816156e-01, 1.83848050e-04, 9.43864773e-01, 1.83864952e-04, 3.23448329e+00, 6.72493228e+01
