 --- Cosmological Parameters --- 
	 H0: 2.2047e-18 (1/s) = 68.0300 (km/s/Mpc) 
	 OmegaM: 3.0850e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.9150e-01 
	 OmegaK: 0.0000e+00 
		 w0: -8.2700e-01 
		 wa: -7.5000e-01 
	 rho_crit: 8.6952e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99917898e-05, 9.55266524e-01, 9.99967892e-05, 3.27292254e+00, 6.80343687e+01
1.02454634e-04, 4.44932032e-05, 9.99897556e-01, 1.02446016e-04, 9.55264070e-01, 1.02451264e-04, 3.27292009e+00, 6.80344760e+01
1.04969521e-04, 4.55852914e-05, 9.99895041e-01, 1.04960475e-04, 9.55261555e-01, 1.04965983e-04, 3.27291757e+00, 6.80345858e+01
1.07546139e-04, 4.67041835e-05, 9.99892465e-01, 1.07536643e-04, 9.55258979e-01, 1.07542426e-04, 3.27291499e+00, 6.80346984e+01
1.10186004e-04, 4.78505373e-05, 9.99889826e-01, 1.10176036e-04, 9.55256340e-01, 1.10182106e-04, 3.27291236e+00, 6.80348137e+01
1.12890668e-04, 4.90250268e-05, 9.99887122e-01, 1.12880204e-04, 9.55253636e-01, 1.12886576e-04, 3.27290965e+00, 6.80349319e+01
1.15661721e-04, 5.02283424e-05, 9.99884352e-01, 1.15650738e-04, 9.55250865e-01, 1.15657426e-04, 3.27290688e+00, 6.80350529e+01
1.18500793e-04, 5.14611916e-05, 9.99881513e-01, 1.18489264e-04, 9.55248027e-01, 1.18496285e-04, 3.27290404e+00, 6.80351770e+01
1.21409555e-04, 5.27242991e-05, 9.99878605e-01, 1.21397453e-04, 9.55245118e-01, 1.21404822e-04, 3.27290113e+00, 6.80353040e+01
1.24389715e-04, 5.40184074e-05, 9.99875626e-01, 1.24377012e-04, 9.55242139e-01, 1.24384747e-04, 3.27289815e+00, 6.80354342e+01
1.27443028e-04, 5.53442774e-05, 9.99872573e-01, 1.27429694e-04, 9.55239086e-01, 1.27437813e-04, 3.27289510e+00, 6.80355676e+01
1.30571289e-04, 5.67026884e-05, 9.99869446e-01, 1.30557292e-04, 9.55235959e-01, 1.30565815e-04, 3.27289197e+00, 6.80357043e+01
1.33776337e-04, 5.80944390e-05, 9.99866242e-01, 1.33761644e-04, 9.55232754e-01, 1.33770591e-04, 3.27288877e+00, 6.80358443e+01
1.37060057e-04, 5.95203474e-05, 9.99862959e-01, 1.37044634e-04, 9.55229471e-01, 1.37054025e-04, 3.27288548e+00, 6.80359877e+01
1.40424380e-04, 6.09812518e-05, 9.99859595e-01, 1.40408191e-04, 9.55226108e-01, 1.40418049e-04, 3.27288212e+00, 6.80361347e+01
1.43871285e-04, 6.24780110e-05, 9.99856149e-01, 1.43854292e-04, 9.55222662e-01, 1.43864639e-04, 3.27287867e+00, 6.80362853e+01
1.47402799e-04, 6.40115048e-05, 9.99852619e-01, 1.47384961e-04, 9.55219131e-01, 1.47395823e-04, 3.27287514e+00, 6.80364395e+01
1.51020999e-04, 6.55826346e-05, 9.99849002e-01, 1.51002275e-04, 9.55215514e-01, 1.51013677e-04, 3.27287152e+00, 6.80365976e+01
1.54728013e-04, 6.71923241e-05, 9.99845296e-01, 1.54708358e-04, 9.55211808e-01, 1.54720326e-04, 3.27286782e+00, 6.80367595e+01
1.58526020e-04, 6.88415193e-05, 9.99841499e-01, 1.58505388e-04, 9.55208010e-01, 1.58517951e-04, 3.27286402e+00, 6.80369255e+01
1.62417254e-04, 7.05311897e-05, 9.99837609e-01, 1.62395598e-04, 9.55204120e-01, 1.62408785e-04, 3.27286013e+00, 6.80370954e+01
1.66404004e-04, 7.22623286e-05, 9.99833624e-01, 1.66381271e-04, 9.55200135e-01, 1.66395114e-04, 3.27285614e+00, 6.80372696e+01
1.70488614e-04, 7.40359535e-05, 9.99829540e-01, 1.70464752e-04, 9.55196051e-01, 1.70479282e-04, 3.27285206e+00, 6.80374480e+01
1.74673487e-04, 7.58531068e-05, 9.99825357e-01, 1.74648438e-04, 9.55191867e-01, 1.74663691e-04, 3.27284787e+00, 6.80376309e+01
1.78961082e-04, 7.77148567e-05, 9.99821071e-01, 1.78934789e-04, 9.55187581e-01, 1.78950800e-04, 3.27284359e+00, 6.80378182e+01
1.83353923e-04, 7.96222975e-05, 9.99816680e-01, 1.83326323e-04, 9.55183190e-01, 1.83343129e-04, 3.27283919e+00, 6.80380101e+01
1.87854591e-04, 8.15765504e-05, 9.99812181e-01, 1.87825620e-04, 9.55178690e-01, 1.87843261e-04, 3.27283469e+00, 6.80382067e+01
1.92465735e-04, 8.35787638e-05, 9.99807571e-01, 1.92435324e-04, 9.55174081e-01, 1.92453842e-04, 3.27283008e+00, 6.80384081e+01
1.97190065e-04, 8.56301147e-05, 9.99802849e-01, 1.97158143e-04, 9.55169358e-01, 1.97177581e-04, 3.27282536e+00, 6.80386145e+01
2.02030360e-04, 8.77318088e-05, 9.99798010e-01, 2.01996852e-04, 9.55164519e-01, 2.02017256e-04, 3.27282052e+00, 6.80388259e+01
2.06989467e-04, 8.98850811e-05, 9.99793053e-01, 2.06954294e-04, 9.55159562e-01, 2.06975712e-04, 3.27281556e+00, 6.80390425e+01
2.12070302e-04, 9.20911974e-05, 9.99787975e-01, 2.12033381e-04, 9.55154482e-01, 2.12055863e-04, 3.27281048e+00, 6.80392645e+01
2.17275853e-04, 9.43514542e-05, 9.99782771e-01, 2.17237097e-04, 9.55149279e-01, 2.17260696e-04, 3.27280528e+00, 6.80394919e+01
2.22609181e-04, 9.66671797e-05, 9.99777440e-01, 2.22568500e-04, 9.55143947e-01, 2.22593271e-04, 3.27279994e+00, 6.80397249e+01
2.28073423e-04, 9.90397351e-05, 9.99771979e-01, 2.28030720e-04, 9.55138485e-01, 2.28056722e-04, 3.27279448e+00, 6.80399636e+01
2.33671791e-04, 1.01470515e-04, 9.99766383e-01, 2.33626967e-04, 9.55132889e-01, 2.33654261e-04, 3.27278888e+00, 6.80402081e+01
2.39407580e-04, 1.03960947e-04, 9.99760650e-01, 2.39360528e-04, 9.55127155e-01, 2.39389178e-04, 3.27278315e+00, 6.80404587e+01
2.45284161e-04, 1.06512495e-04, 9.99754776e-01, 2.45234771e-04, 9.55121281e-01, 2.45264845e-04, 3.27277727e+00, 6.80407154e+01
2.51304990e-04, 1.09126659e-04, 9.99748758e-01, 2.51253146e-04, 9.55115263e-01, 2.51284715e-04, 3.27277125e+00, 6.80409784e+01
2.57473609e-04, 1.11804975e-04, 9.99742593e-01, 2.57419189e-04, 9.55109097e-01, 2.57452326e-04, 3.27276509e+00, 6.80412478e+01
2.63793645e-04, 1.14549016e-04, 9.99736276e-01, 2.63736521e-04, 9.55102779e-01, 2.63771305e-04, 3.27275877e+00, 6.80415239e+01
2.70268815e-04, 1.17360396e-04, 9.99729804e-01, 2.70208852e-04, 9.55096307e-01, 2.70245364e-04, 3.27275229e+00, 6.80418068e+01
2.76902926e-04, 1.20240766e-04, 9.99723174e-01, 2.76839984e-04, 9.55089676e-01, 2.76878310e-04, 3.27274566e+00, 6.80420966e+01
2.83699881e-04, 1.23191819e-04, 9.99716381e-01, 2.83633812e-04, 9.55082882e-01, 2.83674042e-04, 3.27273886e+00, 6.80423935e+01
2.90663676e-04, 1.26215288e-04, 9.99709421e-01, 2.90594324e-04, 9.55075922e-01, 2.90636553e-04, 3.27273190e+00, 6.80426976e+01
2.97798407e-04, 1.29312951e-04, 9.99702290e-01, 2.97725608e-04, 9.55068790e-01, 2.97769936e-04, 3.27272477e+00, 6.80430093e+01
3.05108269e-04, 1.32486627e-04, 9.99694985e-01, 3.05031854e-04, 9.55061484e-01, 3.05078384e-04, 3.27271746e+00, 6.80433286e+01
3.12597562e-04, 1.35738182e-04, 9.99687500e-01, 3.12517349e-04, 9.55053999e-01, 3.12566191e-04, 3.27270997e+00, 6.80436557e+01
3.20270690e-04, 1.39069524e-04, 9.99679832e-01, 3.20186491e-04, 9.55046329e-01, 3.20237760e-04, 3.27270230e+00, 6.80439909e+01
3.28132164e-04, 1.42482613e-04, 9.99671975e-01, 3.28043782e-04, 9.55038472e-01, 3.28097599e-04, 3.27269444e+00, 6.80443343e+01
3.36186610e-04, 1.45979453e-04, 9.99663926e-01, 3.36093836e-04, 9.55030422e-01, 3.36150326e-04, 3.27268639e+00, 6.80446861e+01
3.44438762e-04, 1.49562098e-04, 9.99655680e-01, 3.44341379e-04, 9.55022174e-01, 3.44400676e-04, 3.27267814e+00, 6.80450466e+01
3.52893475e-04, 1.53232653e-04, 9.99647231e-01, 3.52791253e-04, 9.55013725e-01, 3.52853496e-04, 3.27266968e+00, 6.80454159e+01
3.61555719e-04, 1.56993275e-04, 9.99638575e-01, 3.61448419e-04, 9.55005067e-01, 3.61513754e-04, 3.27266102e+00, 6.80457943e+01
3.70430591e-04, 1.60846172e-04, 9.99629707e-01, 3.70317959e-04, 9.54996198e-01, 3.70386540e-04, 3.27265215e+00, 6.80461819e+01
3.79523308e-04, 1.64793609e-04, 9.99620621e-01, 3.79405079e-04, 9.54987111e-01, 3.79477068e-04, 3.27264306e+00, 6.80465791e+01
3.88839218e-04, 1.68837903e-04, 9.99611312e-01, 3.88715115e-04, 9.54977801e-01, 3.88790681e-04, 3.27263375e+00, 6.80469860e+01
3.98383799e-04, 1.72981431e-04, 9.99601775e-01, 3.98253530e-04, 9.54968262e-01, 3.98332850e-04, 3.27262420e+00, 6.80474029e+01
4.08162665e-04, 1.77226627e-04, 9.99592004e-01, 4.08025924e-04, 9.54958490e-01, 4.08109185e-04, 3.27261443e+00, 6.80478300e+01
4.18181567e-04, 1.81575984e-04, 9.99581993e-01, 4.18038031e-04, 9.54948478e-01, 4.18125429e-04, 3.27260441e+00, 6.80482676e+01
4.28446396e-04, 1.86032056e-04, 9.99571737e-01, 4.28295728e-04, 9.54938220e-01, 4.28387468e-04, 3.27259415e+00, 6.80487160e+01
4.38963189e-04, 1.90597461e-04, 9.99561229e-01, 4.38805035e-04, 9.54927711e-01, 4.38901333e-04, 3.27258364e+00, 6.80491753e+01
4.49738130e-04, 1.95274880e-04, 9.99550464e-01, 4.49572119e-04, 9.54916944e-01, 4.49673202e-04, 3.27257286e+00, 6.80496460e+01
4.60777557e-04, 2.00067061e-04, 9.99539435e-01, 4.60603298e-04, 9.54905913e-01, 4.60709403e-04, 3.27256183e+00, 6.80501281e+01
4.72087962e-04, 2.04976817e-04, 9.99528135e-01, 4.71905045e-04, 9.54894611e-01, 4.72016421e-04, 3.27255052e+00, 6.80506221e+01
4.83675996e-04, 2.10007033e-04, 9.99516558e-01, 4.83483991e-04, 9.54883032e-01, 4.83600900e-04, 3.27253894e+00, 6.80511283e+01
4.95548474e-04, 2.15160661e-04, 9.99504697e-01, 4.95346929e-04, 9.54871169e-01, 4.95469646e-04, 3.27252707e+00, 6.80516468e+01
