 --- Cosmological Parameters --- 
	 H0: 2.1927e-18 (1/s) = 67.6600 (km/s/Mpc) 
	 OmegaM: 3.1110e-01 
	 OmegaR: 9.1824e-05 
	 OmegaL: 6.8881e-01 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.6009e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, d_L, d_LOS, d_trans, d_ang, d_mod, H(z), rho_c(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99926663e-05, 9.53838756e-01, 9.99976658e-05, 3.19567380e+00, 4.43120660e-01, 4.43076353e-01, 4.43076353e-01, 4.43032049e-01, 2.32326100e+01, 6.76631588e+01, 8.60169604e-30
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02799571e-04, 9.53835949e-01, 1.02804855e-04, 3.19567099e+00, 4.55561466e-01, 4.55514636e-01, 4.55514636e-01, 4.55467810e-01, 2.32927349e+01, 6.76632475e+01, 8.60171858e-30
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05685263e-04, 9.53833063e-01, 1.05690848e-04, 3.19566811e+00, 4.68351581e-01, 4.68302085e-01, 4.68302085e-01, 4.68252593e-01, 2.33528600e+01, 6.76633387e+01, 8.60174177e-30
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08651952e-04, 9.53830097e-01, 1.08657855e-04, 3.19566514e+00, 4.81500815e-01, 4.81448500e-01, 4.81448500e-01, 4.81396192e-01, 2.34129851e+01, 6.76634324e+01, 8.60176560e-30
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11701913e-04, 9.53827047e-01, 1.11708152e-04, 3.19566209e+00, 4.95019252e-01, 4.94963959e-01, 4.94963959e-01, 4.94908673e-01, 2.34731104e+01, 6.76635288e+01, 8.60179010e-30
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14837482e-04, 9.53823911e-01, 1.14844076e-04, 3.19565896e+00, 5.08917262e-01, 5.08858821e-01, 5.08858821e-01, 5.08800387e-01, 2.35332359e+01, 6.76636279e+01, 8.60181529e-30
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18061061e-04, 9.53820687e-01, 1.18068031e-04, 3.19565573e+00, 5.23205503e-01, 5.23143735e-01, 5.23143735e-01, 5.23081974e-01, 2.35933615e+01, 6.76637297e+01, 8.60184119e-30
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21375120e-04, 9.53817373e-01, 1.21382487e-04, 3.19565242e+00, 5.37894935e-01, 5.37829650e-01, 5.37829650e-01, 5.37764373e-01, 2.36534873e+01, 6.76638344e+01, 8.60186781e-30
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24782200e-04, 9.53813966e-01, 1.24789985e-04, 3.19564901e+00, 5.52996824e-01, 5.52927822e-01, 5.52927822e-01, 5.52858829e-01, 2.37136132e+01, 6.76639421e+01, 8.60189518e-30
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28284909e-04, 9.53810464e-01, 1.28293138e-04, 3.19564551e+00, 5.68522754e-01, 5.68449824e-01, 5.68449824e-01, 5.68376903e-01, 2.37737393e+01, 6.76640528e+01, 8.60192332e-30
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31885931e-04, 9.53806863e-01, 1.31894629e-04, 3.19564190e+00, 5.84484634e-01, 5.84407552e-01, 5.84407552e-01, 5.84330479e-01, 2.38338655e+01, 6.76641666e+01, 8.60195225e-30
1.35601511e-04, 5.88869955e-05, 9.99864417e-01, 1.35588026e-04, 9.53803160e-01, 1.35597219e-04, 3.19563820e+00, 6.00894707e-01, 6.00813236e-01, 6.00813236e-01, 6.00731776e-01, 2.38939919e+01, 6.76642835e+01, 8.60198200e-30
1.39408283e-04, 6.05400281e-05, 9.99860611e-01, 1.39394030e-04, 9.53799354e-01, 1.39403746e-04, 3.19563440e+00, 6.17765561e-01, 6.17679452e-01, 6.17679452e-01, 6.17593354e-01, 2.39541185e+01, 6.76644038e+01, 8.60201258e-30
1.43321923e-04, 6.22394601e-05, 9.99856699e-01, 1.43306859e-04, 9.53795442e-01, 1.43317128e-04, 3.19563048e+00, 6.35110137e-01, 6.35019125e-01, 6.35019125e-01, 6.34928126e-01, 2.40142452e+01, 6.76645275e+01, 8.60204401e-30
1.47345431e-04, 6.39865937e-05, 9.99852676e-01, 1.47329509e-04, 9.53791419e-01, 1.47340363e-04, 3.19562646e+00, 6.52941740e-01, 6.52845546e-01, 6.52845546e-01, 6.52749366e-01, 2.40743722e+01, 6.76646546e+01, 8.60207633e-30
1.51481892e-04, 6.57827676e-05, 9.99848541e-01, 1.51465064e-04, 9.53787283e-01, 1.51476536e-04, 3.19562232e+00, 6.71274047e-01, 6.71172377e-01, 6.71172377e-01, 6.71070722e-01, 2.41344993e+01, 6.76647853e+01, 8.60210956e-30
1.55734477e-04, 6.76293582e-05, 9.99844290e-01, 1.55716691e-04, 9.53783032e-01, 1.55728816e-04, 3.19561807e+00, 6.90121123e-01, 6.90013664e-01, 6.90013664e-01, 6.89906222e-01, 2.41946266e+01, 6.76649196e+01, 8.60214372e-30
1.60106446e-04, 6.95277803e-05, 9.99839919e-01, 1.60087647e-04, 9.53778661e-01, 1.60100463e-04, 3.19561370e+00, 7.09497425e-01, 7.09383848e-01, 7.09383848e-01, 7.09270290e-01, 2.42547541e+01, 6.76650577e+01, 8.60217884e-30
1.64601150e-04, 7.14794886e-05, 9.99835426e-01, 1.64581281e-04, 9.53774167e-01, 1.64594826e-04, 3.19560920e+00, 7.29417818e-01, 7.29297775e-01, 7.29297775e-01, 7.29177751e-01, 2.43148818e+01, 6.76651997e+01, 8.60221494e-30
