 --- Cosmological Parameters --- 
	 H0: 2.1561e-18 (1/s) = 66.5300 (km/s/Mpc) 
	 OmegaM: 3.2300e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.7700e-01 
	 OmegaK: 0.0000e+00 
		 w0: -6.5000e-01 
		 wa: -1.2700e+00 
	 rho_crit: 8.3160e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99908014e-05, 9.34135218e-01, 9.99958008e-05, 3.20018343e+00, 6.65355877e+01
1.02807322e-04, 4.46463579e-05, 9.99897203e-01, 1.02797600e-04, 9.34132411e-01, 1.02802884e-04, 3.20018063e+00, 6.65357445e+01
1.05693455e-04, 4.58996588e-05, 9.99894318e-01, 1.05683180e-04, 9.34129525e-01, 1.05688764e-04, 3.20017774e+00, 6.65359058e+01
1.08660611e-04, 4.71881402e-05, 9.99891351e-01, 1.08649751e-04, 9.34126559e-01, 1.08655653e-04, 3.20017477e+00, 6.65360716e+01
1.11711065e-04, 4.85127895e-05, 9.99888301e-01, 1.11699586e-04, 9.34123509e-01, 1.11705825e-04, 3.20017172e+00, 6.65362420e+01
1.14847155e-04, 4.98746217e-05, 9.99885166e-01, 1.14835022e-04, 9.34120373e-01, 1.14841616e-04, 3.20016859e+00, 6.65364172e+01
1.18071285e-04, 5.12746804e-05, 9.99881943e-01, 1.18058461e-04, 9.34117150e-01, 1.18065431e-04, 3.20016536e+00, 6.65365974e+01
1.21385926e-04, 5.27140387e-05, 9.99878629e-01, 1.21372373e-04, 9.34113836e-01, 1.21379739e-04, 3.20016205e+00, 6.65367826e+01
1.24793621e-04, 5.41937993e-05, 9.99875222e-01, 1.24779296e-04, 9.34110429e-01, 1.24787081e-04, 3.20015864e+00, 6.65369730e+01
1.28296980e-04, 5.57150964e-05, 9.99871719e-01, 1.28281839e-04, 9.34106926e-01, 1.28290068e-04, 3.20015514e+00, 6.65371687e+01
1.31898690e-04, 5.72790956e-05, 9.99868119e-01, 1.31882687e-04, 9.34103326e-01, 1.31891384e-04, 3.20015154e+00, 6.65373699e+01
1.35601511e-04, 5.88869955e-05, 9.99864417e-01, 1.35584598e-04, 9.34099624e-01, 1.35593790e-04, 3.20014783e+00, 6.65375768e+01
1.39408283e-04, 6.05400281e-05, 9.99860611e-01, 1.39390406e-04, 9.34095818e-01, 1.39400122e-04, 3.20014403e+00, 6.65377895e+01
1.43321923e-04, 6.22394601e-05, 9.99856699e-01, 1.43303028e-04, 9.34091905e-01, 1.43313297e-04, 3.20014011e+00, 6.65380082e+01
1.47345431e-04, 6.39865937e-05, 9.99852676e-01, 1.47325461e-04, 9.34087883e-01, 1.47336315e-04, 3.20013609e+00, 6.65382330e+01
1.51481892e-04, 6.57827676e-05, 9.99848541e-01, 1.51460786e-04, 9.34083748e-01, 1.51472257e-04, 3.20013196e+00, 6.65384641e+01
1.55734477e-04, 6.76293582e-05, 9.99844290e-01, 1.55712169e-04, 9.34079496e-01, 1.55724293e-04, 3.20012770e+00, 6.65387017e+01
1.60106446e-04, 6.95277803e-05, 9.99839919e-01, 1.60082868e-04, 9.34075125e-01, 1.60095682e-04, 3.20012333e+00, 6.65389459e+01
1.64601150e-04, 7.14794886e-05, 9.99835426e-01, 1.64576230e-04, 9.34070632e-01, 1.64589774e-04, 3.20011884e+00, 6.65391970e+01
1.69222035e-04, 7.34859785e-05, 9.99830807e-01, 1.69195696e-04, 9.34066013e-01, 1.69210011e-04, 3.20011422e+00, 6.65394552e+01
1.73972643e-04, 7.55487874e-05, 9.99826058e-01, 1.73944805e-04, 9.34061264e-01, 1.73959935e-04, 3.20010947e+00, 6.65397206e+01
1.78856616e-04, 7.76694958e-05, 9.99821175e-01, 1.78827193e-04, 9.34056381e-01, 1.78843184e-04, 3.20010458e+00, 6.65399935e+01
1.83877698e-04, 7.98497285e-05, 9.99816156e-01, 1.83846599e-04, 9.34051362e-01, 1.83863501e-04, 3.20009956e+00, 6.65402740e+01
1.89039738e-04, 8.20911560e-05, 9.99810996e-01, 1.89006869e-04, 9.34046201e-01, 1.89024733e-04, 3.20009440e+00, 6.65405624e+01
1.94346693e-04, 8.43954955e-05, 9.99805691e-01, 1.94311953e-04, 9.34040896e-01, 1.94330833e-04, 3.20008910e+00, 6.65408589e+01
1.99802631e-04, 8.67645125e-05, 9.99800237e-01, 1.99765913e-04, 9.34035442e-01, 1.99785869e-04, 3.20008364e+00, 6.65411637e+01
2.05411735e-04, 8.92000219e-05, 9.99794630e-01, 2.05372927e-04, 9.34029835e-01, 2.05394018e-04, 3.20007803e+00, 6.65414770e+01
2.11178304e-04, 9.17038897e-05, 9.99788866e-01, 2.11137287e-04, 9.34024071e-01, 2.11159579e-04, 3.20007227e+00, 6.65417992e+01
2.17106760e-04, 9.42780341e-05, 9.99782940e-01, 2.17063408e-04, 9.34018145e-01, 2.17086969e-04, 3.20006634e+00, 6.65421304e+01
2.23201647e-04, 9.69244272e-05, 9.99776848e-01, 2.23155827e-04, 9.34012052e-01, 2.23180729e-04, 3.20006025e+00, 6.65424709e+01
