 --- Cosmological Parameters --- 
	 H0: 2.1927e-18 (1/s) = 67.6600 (km/s/Mpc) 
	 OmegaM: 0.0000e+00 
	 OmegaR: 0.0000e+00 
	 OmegaL: 1.0000e+00 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.6009e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99950003e-05, 2.76309211e+01, 1.00000000e-04, 1.00000000e+12, 6.76600000e+01
2.00410782e+00, 4.77715515e-01, 3.32877533e-01, 1.09998062e+00, 2.65310405e+01, 2.00410782e+00, 1.00000000e+12, 6.76600000e+01
4.00811563e+00, 6.99674348e-01, 1.99675901e-01, 1.61105972e+00, 2.60199614e+01, 4.00811563e+00, 1.00000000e+12, 6.76600000e+01
6.01212345e+00, 8.45849553e-01, 1.42610153e-01, 1.94764057e+00, 2.56833805e+01, 6.01212345e+00, 1.00000000e+12, 6.76600000e+01
8.01613126e+00, 9.55020226e-01, 1.10912316e-01, 2.19901534e+00, 2.54320058e+01, 8.01613126e+00, 1.00000000e+12, 6.76600000e+01
1.00201391e+01, 1.04218708e+00, 9.07429564e-02, 2.39972442e+00, 2.52312967e+01, 1.00201391e+01, 1.00000000e+12, 6.76600000e+01
1.20241469e+01, 1.11474929e+00, 7.67804608e-02, 2.56680509e+00, 2.50642160e+01, 1.20241469e+01, 1.00000000e+12, 6.76600000e+01
1.40281547e+01, 1.17690566e+00, 6.65417691e-02, 2.70992542e+00, 2.49210957e+01, 1.40281547e+01, 1.00000000e+12, 6.76600000e+01
1.60321625e+01, 1.23126979e+00, 5.87124505e-02, 2.83510347e+00, 2.47959176e+01, 1.60321625e+01, 1.00000000e+12, 6.76600000e+01
1.80361703e+01, 1.27957958e+00, 5.25315745e-02, 2.94634087e+00, 2.46846802e+01, 1.80361703e+01, 1.00000000e+12, 6.76600000e+01
2.00401782e+01, 1.32304941e+00, 4.75281147e-02, 3.04643386e+00, 2.45845873e+01, 2.00401782e+01, 1.00000000e+12, 6.76600000e+01
2.20441860e+01, 1.36256137e+00, 4.33948937e-02, 3.13741350e+00, 2.44936076e+01, 2.20441860e+01, 1.00000000e+12, 6.76600000e+01
2.40481938e+01, 1.39877641e+00, 3.99230383e-02, 3.22080172e+00, 2.44102194e+01, 2.40481938e+01, 1.00000000e+12, 6.76600000e+01
2.60522016e+01, 1.43220262e+00, 3.69655681e-02, 3.29776839e+00, 2.43332527e+01, 2.60522016e+01, 1.00000000e+12, 6.76600000e+01
2.80562094e+01, 1.46323896e+00, 3.44160515e-02, 3.36923221e+00, 2.42617889e+01, 2.80562094e+01, 1.00000000e+12, 6.76600000e+01
3.00602172e+01, 1.49220449e+00, 3.21955250e-02, 3.43592781e+00, 2.41950933e+01, 3.00602172e+01, 1.00000000e+12, 6.76600000e+01
3.20642251e+01, 1.51935835e+00, 3.02441687e-02, 3.49845188e+00, 2.41325692e+01, 3.20642251e+01, 1.00000000e+12, 6.76600000e+01
3.40682329e+01, 1.54491388e+00, 2.85158366e-02, 3.55729567e+00, 2.40737254e+01, 3.40682329e+01, 1.00000000e+12, 6.76600000e+01
