 --- Cosmological Parameters --- 
	 H0: 2.1927e-18 (1/s) = 67.6600 (km/s/Mpc) 
	 OmegaM: 1.0000e+00 
	 OmegaR: 0.0000e+00 
	 OmegaL: 0.0000e+00 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.6009e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99875015e-05, 6.66566679e-01, 9.99925006e-05, 1.99989801e+00, 6.76701493e+01
2.00410782e+00, 4.77715515e-01, 3.32877533e-01, 5.38629673e-01, 1.28036994e-01, 8.46089200e-01, 1.15390880e+00, 3.52294016e+02
4.00811563e+00, 6.99674348e-01, 1.99675901e-01, 6.07183070e-01, 5.94835966e-02, 1.10629781e+00, 8.93700189e-01, 7.58304293e+02
6.01212345e+00, 8.45849553e-01, 1.42610153e-01, 6.30763363e-01, 3.59033036e-02, 1.24472481e+00, 7.55273190e-01, 1.25633750e+03
8.01613126e+00, 9.55020226e-01, 1.10912316e-01, 6.42041544e-01, 2.46251226e-02, 1.33392999e+00, 6.66068014e-01, 1.83173369e+03
1.00201391e+01, 1.04218708e+00, 9.07429564e-02, 6.48443320e-01, 1.82233463e-02, 1.39752857e+00, 6.02469431e-01, 2.47521317e+03
1.20241469e+01, 1.11474929e+00, 7.67804608e-02, 6.52483121e-01, 1.41835457e-02, 1.44581425e+00, 5.54183748e-01, 3.18021090e+03
1.40281547e+01, 1.17690566e+00, 6.65417691e-02, 6.55223394e-01, 1.14432729e-02, 1.48408617e+00, 5.15911826e-01, 3.94176274e+03
1.60321625e+01, 1.23126979e+00, 5.87124505e-02, 6.57182394e-01, 9.48427312e-03, 1.51538696e+00, 4.84611044e-01, 4.75594345e+03
1.80361703e+01, 1.27957958e+00, 5.25315745e-02, 6.58639923e-01, 8.02674318e-03, 1.54160465e+00, 4.58393351e-01, 5.61954776e+03
2.00401782e+01, 1.32304941e+00, 4.75281147e-02, 6.59758948e-01, 6.90771835e-03, 1.56398113e+00, 4.36016874e-01, 6.52989372e+03
2.20441860e+01, 1.36256137e+00, 4.33948937e-02, 6.60640146e-01, 6.02652113e-03, 1.58337118e+00, 4.16626821e-01, 7.48469402e+03
2.40481938e+01, 1.39877641e+00, 3.99230383e-02, 6.61348718e-01, 5.31794840e-03, 1.60038499e+00, 3.99613006e-01, 8.48196772e+03
2.60522016e+01, 1.43220262e+00, 3.69655681e-02, 6.61928560e-01, 4.73810650e-03, 1.61547136e+00, 3.84526637e-01, 9.51997738e+03
2.80562094e+01, 1.46323896e+00, 3.44160515e-02, 6.62410190e-01, 4.25647714e-03, 1.62896873e+00, 3.71029274e-01, 1.05971829e+04
3.00602172e+01, 1.49220449e+00, 3.21955250e-02, 6.62815414e-01, 3.85125263e-03, 1.64113777e+00, 3.58860230e-01, 1.17122067e+04
3.20642251e+01, 1.51935835e+00, 3.02441687e-02, 6.63160188e-01, 3.50647881e-03, 1.65218299e+00, 3.47815013e-01, 1.28638070e+04
3.40682329e+01, 1.54491388e+00, 2.85158366e-02, 6.63456424e-01, 3.21024308e-03, 1.66226734e+00, 3.37730656e-01, 1.40508571e+04
3.60722407e+01, 1.56904884e+00, 2.69743609e-02, 6.63713177e-01, 2.95348988e-03, 1.67152254e+00, 3.28475463e-01, 1.52723282e+04
3.80762485e+01, 1.59191286e+00, 2.55909930e-02, 6.63937441e-01, 2.72922567e-03, 1.68005630e+00, 3.19941701e-01, 1.65272763e+04
4.00802563e+01, 1.61363314e+00, 2.43425940e-02, 6.64134694e-01, 2.53197273e-03, 1.68795773e+00, 3.12040266e-01, 1.78148311e+04
4.20842641e+01, 1.63431868e+00, 2.32103303e-02, 6.64309281e-01, 2.35738612e-03, 1.69530126e+00, 3.04696738e-01, 1.91341870e+04
4.40882719e+01, 1.65406359e+00, 2.21787165e-02, 6.64464687e-01, 2.20197992e-03, 1.70214959e+00, 2.97848409e-01, 2.04845949e+04
4.60922798e+01, 1.67294972e+00, 2.12349032e-02, 6.64603738e-01, 2.06292846e-03, 1.70855599e+00, 2.91442013e-01, 2.18653567e+04
4.80962876e+01, 1.69104865e+00, 2.03681388e-02, 6.64728747e-01, 1.93791962e-03, 1.71456602e+00, 2.85431977e-01, 2.32758192e+04
5.01002954e+01, 1.70842341e+00, 1.95693585e-02, 6.64841621e-01, 1.82504520e-03, 1.72021895e+00, 2.79779047e-01, 2.47153696e+04
5.21043032e+01, 1.72512971e+00, 1.88308657e-02, 6.64943949e-01, 1.72271791e-03, 1.72554880e+00, 2.74449203e-01, 2.61834317e+04
5.41083110e+01, 1.74121710e+00, 1.81460833e-02, 6.65037059e-01, 1.62960778e-03, 1.73058520e+00, 2.69412797e-01, 2.76794620e+04
5.61123188e+01, 1.75672979e+00, 1.75093574e-02, 6.65122074e-01, 1.54459296e-03, 1.73535414e+00, 2.64643857e-01, 2.92029472e+04
5.81163267e+01, 1.77170744e+00, 1.69158007e-02, 6.65199945e-01, 1.46672124e-03, 1.73987848e+00, 2.60119515e-01, 3.07534012e+04
6.01203345e+01, 1.78618572e+00, 1.63611670e-02, 6.65271487e-01, 1.39517973e-03, 1.74417844e+00, 2.55819555e-01, 3.23303627e+04
6.21243423e+01, 1.80019687e+00, 1.58417492e-02, 6.65337396e-01, 1.32927073e-03, 1.74827198e+00, 2.51726022e-01, 3.39333934e+04
6.41283501e+01, 1.81377008e+00, 1.53542965e-02, 6.65398274e-01, 1.26839239e-03, 1.75217509e+00, 2.47822910e-01, 3.55620762e+04
6.61323579e+01, 1.82693190e+00, 1.48959463e-02, 6.65454644e-01, 1.21202308e-03, 1.75590210e+00, 2.44095901e-01, 3.72160131e+04
6.81363657e+01, 1.83970655e+00, 1.44641679e-02, 6.65506958e-01, 1.15970872e-03, 1.75946586e+00, 2.40532138e-01, 3.88948242e+04
7.01403735e+01, 1.85211614e+00, 1.40567156e-02, 6.65555614e-01, 1.11105237e-03, 1.76287796e+00, 2.37120041e-01, 4.05981464e+04
7.21443814e+01, 1.86418097e+00, 1.36715901e-02, 6.65600961e-01, 1.06570569e-03, 1.76614885e+00, 2.33849150e-01, 4.23256318e+04
7.41483892e+01, 1.87591968e+00, 1.33070051e-02, 6.65643305e-01, 1.02336186e-03, 1.76928801e+00, 2.30709986e-01, 4.40769472e+04
7.61523970e+01, 1.88734942e+00, 1.29613601e-02, 6.65682917e-01, 9.83749684e-04, 1.77230406e+00, 2.27693938e-01, 4.58517725e+04
7.81564048e+01, 1.89848606e+00, 1.26332165e-02, 6.65720038e-01, 9.46628662e-04, 1.77520484e+00, 2.24793165e-01, 4.76498003e+04
8.01604126e+01, 1.90934425e+00, 1.23212779e-02, 6.65754882e-01, 9.11784849e-04, 1.77799750e+00, 2.22000504e-01, 4.94707350e+04
8.21644204e+01, 1.91993757e+00, 1.20243729e-02, 6.65787639e-01, 8.79027360e-04, 1.78068860e+00, 2.19309403e-01, 5.13142920e+04
8.41684283e+01, 1.93027863e+00, 1.17414401e-02, 6.65818481e-01, 8.48185399e-04, 1.78328415e+00, 2.16713852e-01, 5.31801971e+04
8.61724361e+01, 1.94037918e+00, 1.14715161e-02, 6.65847561e-01, 8.19105735e-04, 1.78578967e+00, 2.14208327e-01, 5.50681856e+04
8.81764439e+01, 1.95025015e+00, 1.12137237e-02, 6.65875016e-01, 7.91650547e-04, 1.78821026e+00, 2.11787742e-01, 5.69780023e+04
9.01804517e+01, 1.95990174e+00, 1.09672631e-02, 6.65900971e-01, 7.65695566e-04, 1.79055060e+00, 2.09447403e-01, 5.89094004e+04
9.21844595e+01, 1.96934349e+00, 1.07314031e-02, 6.65925538e-01, 7.41128484e-04, 1.79281503e+00, 2.07182972e-01, 6.08621415e+04
9.41884673e+01, 1.97858433e+00, 1.05054743e-02, 6.65948819e-01, 7.17847579e-04, 1.79500757e+00, 2.04990432e-01, 6.28359947e+04
9.61924752e+01, 1.98763264e+00, 1.02888624e-02, 6.65970906e-01, 6.95760514e-04, 1.79713194e+00, 2.02866059e-01, 6.48307367e+04
9.81964830e+01, 1.99649627e+00, 1.00810026e-02, 6.65991883e-01, 6.74783305e-04, 1.79919161e+00, 2.00806392e-01, 6.68461509e+04
1.00200491e+02, 2.00518262e+00, 9.88137500e-03, 6.66011827e-01, 6.54839417e-04, 1.80118979e+00, 1.98808211e-01, 6.88820274e+04
1.02204499e+02, 2.01369863e+00, 9.68950011e-03, 6.66030808e-01, 6.35858965e-04, 1.80312948e+00, 1.96868517e-01, 7.09381627e+04
1.04208506e+02, 2.02205086e+00, 9.50493486e-03, 6.66048889e-01, 6.17778028e-04, 1.80501349e+00, 1.94984511e-01, 7.30143589e+04
1.06212514e+02, 2.03024548e+00, 9.32726937e-03, 6.66066129e-01, 6.00538037e-04, 1.80684442e+00, 1.93153578e-01, 7.51104242e+04
1.08216522e+02, 2.03828834e+00, 9.15612383e-03, 6.66082581e-01, 5.84085234e-04, 1.80862473e+00, 1.91373274e-01, 7.72261719e+04
1.10220530e+02, 2.04618496e+00, 8.99114580e-03, 6.66098296e-01, 5.68370202e-04, 1.81035669e+00, 1.89641305e-01, 7.93614206e+04
1.12224538e+02, 2.05394056e+00, 8.83200780e-03, 6.66113319e-01, 5.53347442e-04, 1.81204248e+00, 1.87955525e-01, 8.15159938e+04
1.14228545e+02, 2.06156008e+00, 8.67840513e-03, 6.66127692e-01, 5.38975000e-04, 1.81368408e+00, 1.86313916e-01, 8.36897197e+04
1.16232553e+02, 2.06904822e+00, 8.53005391e-03, 6.66141453e-01, 5.25214134e-04, 1.81528342e+00, 1.84714582e-01, 8.58824310e+04
1.18236561e+02, 2.07640944e+00, 8.38668937e-03, 6.66154638e-01, 5.12029022e-04, 1.81684226e+00, 1.83155739e-01, 8.80939648e+04
1.20240569e+02, 2.08364797e+00, 8.24806423e-03, 6.66167281e-01, 4.99386494e-04, 1.81836229e+00, 1.81635708e-01, 9.03241622e+04
1.22244577e+02, 2.09076782e+00, 8.11394729e-03, 6.66179412e-01, 4.87255797e-04, 1.81984510e+00, 1.80152903e-01, 9.25728683e+04
1.24248585e+02, 2.09777283e+00, 7.98412216e-03, 6.66191059e-01, 4.75608383e-04, 1.82129217e+00, 1.78705830e-01, 9.48399319e+04
1.26252592e+02, 2.10466664e+00, 7.85838607e-03, 6.66202250e-01, 4.64417721e-04, 1.82270492e+00, 1.77293077e-01, 9.71252056e+04
1.28256600e+02, 2.11145273e+00, 7.73654884e-03, 6.66213008e-01, 4.53659122e-04, 1.82408469e+00, 1.75913307e-01, 9.94285455e+04
1.30260608e+02, 2.11813441e+00, 7.61843187e-03, 6.66223358e-01, 4.43309587e-04, 1.82543274e+00, 1.74565258e-01, 1.01749811e+05
1.32264616e+02, 2.12471485e+00, 7.50386735e-03, 6.66233320e-01, 4.33347668e-04, 1.82675027e+00, 1.73247731e-01, 1.04088865e+05
1.34268624e+02, 2.13119707e+00, 7.39269738e-03, 6.66242914e-01, 4.23753340e-04, 1.82803841e+00, 1.71959593e-01, 1.06445572e+05
1.36272631e+02, 2.13758396e+00, 7.28477330e-03, 6.66252160e-01, 4.14507891e-04, 1.82929823e+00, 1.70699767e-01, 1.08819802e+05
1.38276639e+02, 2.14387828e+00, 7.17995498e-03, 6.66261074e-01, 4.05593814e-04, 1.83053077e+00, 1.69467230e-01, 1.11211427e+05
1.40280647e+02, 2.15008268e+00, 7.07811028e-03, 6.66269673e-01, 3.96994717e-04, 1.83173699e+00, 1.68261012e-01, 1.13620320e+05
1.42284655e+02, 2.15619968e+00, 6.97911441e-03, 6.66277973e-01, 3.88695236e-04, 1.83291781e+00, 1.67080188e-01, 1.16046358e+05
1.44288663e+02, 2.16223173e+00, 6.88284950e-03, 6.66285987e-01, 3.80680956e-04, 1.83407412e+00, 1.65923881e-01, 1.18489423e+05
1.46292671e+02, 2.16818114e+00, 6.78920408e-03, 6.66293730e-01, 3.72938343e-04, 1.83520675e+00, 1.64791253e-01, 1.20949394e+05
1.48296678e+02, 2.17405015e+00, 6.69807266e-03, 6.66301213e-01, 3.65454676e-04, 1.83631649e+00, 1.63681508e-01, 1.23426158e+05
1.50300686e+02, 2.17984090e+00, 6.60935535e-03, 6.66308450e-01, 3.58217992e-04, 1.83740412e+00, 1.62593884e-01, 1.25919601e+05
1.52304694e+02, 2.18555545e+00, 6.52295748e-03, 6.66315451e-01, 3.51217027e-04, 1.83847034e+00, 1.61527656e-01, 1.28429613e+05
1.54308702e+02, 2.19119579e+00, 6.43878925e-03, 6.66322227e-01, 3.44441171e-04, 1.83951587e+00, 1.60482133e-01, 1.30956083e+05
1.56312710e+02, 2.19676381e+00, 6.35676547e-03, 6.66328788e-01, 3.37880419e-04, 1.84054135e+00, 1.59456653e-01, 1.33498907e+05
1.58316717e+02, 2.20226135e+00, 6.27680520e-03, 6.66335143e-01, 3.31525330e-04, 1.84154742e+00, 1.58450582e-01, 1.36057980e+05
1.60320725e+02, 2.20769017e+00, 6.19883154e-03, 6.66341302e-01, 3.25366992e-04, 1.84253468e+00, 1.57463317e-01, 1.38633198e+05
1.62324733e+02, 2.21305196e+00, 6.12277137e-03, 6.66347272e-01, 3.19396980e-04, 1.84350372e+00, 1.56494279e-01, 1.41224462e+05
1.64328741e+02, 2.21834836e+00, 6.04855511e-03, 6.66353062e-01, 3.13607329e-04, 1.84445509e+00, 1.55542915e-01, 1.43831673e+05
1.66332749e+02, 2.22358095e+00, 5.97611650e-03, 6.66358678e-01, 3.07990502e-04, 1.84538931e+00, 1.54608692e-01, 1.46454733e+05
