 --- Cosmological Parameters --- 
	 H0: 2.2685e-18 (1/s) = 70.0000 (km/s/Mpc) 
	 OmegaM: 3.0000e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 7.0000e-01 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 9.2061e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99927504e-05, 9.63999389e-01, 3.30497218e+00, 7.00031502e+01
1.02454634e-04, 4.44932032e-05, 9.99897556e-01, 1.02447025e-04, 9.63996935e-01, 3.30496972e+00, 7.00032276e+01
1.04969521e-04, 4.55852914e-05, 9.99895041e-01, 1.04961533e-04, 9.63994420e-01, 3.30496721e+00, 7.00033068e+01
1.07546139e-04, 4.67041835e-05, 9.99892465e-01, 1.07537754e-04, 9.63991844e-01, 3.30496463e+00, 7.00033880e+01
1.10186004e-04, 4.78505373e-05, 9.99889826e-01, 1.10177202e-04, 9.63989204e-01, 3.30496199e+00, 7.00034712e+01
1.12890668e-04, 4.90250268e-05, 9.99887122e-01, 1.12881429e-04, 9.63986500e-01, 3.30495929e+00, 7.00035564e+01
1.15661721e-04, 5.02283424e-05, 9.99884352e-01, 1.15652023e-04, 9.63983730e-01, 3.30495652e+00, 7.00036437e+01
1.18500793e-04, 5.14611916e-05, 9.99881513e-01, 1.18490613e-04, 9.63980891e-01, 3.30495368e+00, 7.00037331e+01
1.21409555e-04, 5.27242991e-05, 9.99878605e-01, 1.21398869e-04, 9.63977983e-01, 3.30495077e+00, 7.00038248e+01
1.24389715e-04, 5.40184074e-05, 9.99875626e-01, 1.24378498e-04, 9.63975003e-01, 3.30494779e+00, 7.00039187e+01
1.27443028e-04, 5.53442774e-05, 9.99872573e-01, 1.27431254e-04, 9.63971950e-01, 3.30494474e+00, 7.00040149e+01
1.30571289e-04, 5.67026884e-05, 9.99869446e-01, 1.30558929e-04, 9.63968823e-01, 3.30494161e+00, 7.00041134e+01
1.33776337e-04, 5.80944390e-05, 9.99866242e-01, 1.33763363e-04, 9.63965618e-01, 3.30493840e+00, 7.00042144e+01
1.37060057e-04, 5.95203474e-05, 9.99862959e-01, 1.37046438e-04, 9.63962335e-01, 3.30493512e+00, 7.00043179e+01
1.40424380e-04, 6.09812518e-05, 9.99859595e-01, 1.40410085e-04, 9.63958972e-01, 3.30493176e+00, 7.00044238e+01
1.43871285e-04, 6.24780110e-05, 9.99856149e-01, 1.43856280e-04, 9.63955525e-01, 3.30492831e+00, 7.00045325e+01
1.47402799e-04, 6.40115048e-05, 9.99852619e-01, 1.47387048e-04, 9.63951995e-01, 3.30492478e+00, 7.00046437e+01
1.51020999e-04, 6.55826346e-05, 9.99849002e-01, 1.51004466e-04, 9.63948377e-01, 3.30492116e+00, 7.00047577e+01
1.54728013e-04, 6.71923241e-05, 9.99845296e-01, 1.54710657e-04, 9.63944671e-01, 3.30491745e+00, 7.00048745e+01
1.58526020e-04, 6.88415193e-05, 9.99841499e-01, 1.58507802e-04, 9.63940874e-01, 3.30491366e+00, 7.00049942e+01
1.62417254e-04, 7.05311897e-05, 9.99837609e-01, 1.62398131e-04, 9.63936984e-01, 3.30490977e+00, 7.00051168e+01
1.66404004e-04, 7.22623286e-05, 9.99833624e-01, 1.66383931e-04, 9.63932998e-01, 3.30490578e+00, 7.00052424e+01
1.70488614e-04, 7.40359535e-05, 9.99829540e-01, 1.70467543e-04, 9.63928914e-01, 3.30490169e+00, 7.00053711e+01
1.74673487e-04, 7.58531068e-05, 9.99825357e-01, 1.74651369e-04, 9.63924730e-01, 3.30489751e+00, 7.00055030e+01
1.78961082e-04, 7.77148567e-05, 9.99821071e-01, 1.78937865e-04, 9.63920444e-01, 3.30489322e+00, 7.00056381e+01
1.83353923e-04, 7.96222975e-05, 9.99816680e-01, 1.83329552e-04, 9.63916052e-01, 3.30488883e+00, 7.00057765e+01
1.87854591e-04, 8.15765504e-05, 9.99812181e-01, 1.87829009e-04, 9.63911553e-01, 3.30488433e+00, 7.00059183e+01
1.92465735e-04, 8.35787638e-05, 9.99807571e-01, 1.92438882e-04, 9.63906943e-01, 3.30487972e+00, 7.00060636e+01
1.97190065e-04, 8.56301147e-05, 9.99802849e-01, 1.97161878e-04, 9.63902220e-01, 3.30487500e+00, 7.00062124e+01
