 --- Cosmological Parameters --- 
	 H0: 2.1791e-18 (1/s) = 67.2400 (km/s/Mpc) 
	 OmegaM: 3.1600e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.8400e-01 
	 OmegaK: 0.0000e+00 
		 w0: -7.2700e-01 
		 wa: -1.0500e+00 
	 rho_crit: 8.4944e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99912304e-05, 9.43948630e-01, 3.23456715e+00, 6.72450703e+01
1.02454634e-04, 4.44932032e-05, 9.99897556e-01, 1.02445429e-04, 9.43946175e-01, 3.23456470e+00, 6.72451948e+01
1.04969521e-04, 4.55852914e-05, 9.99895041e-01, 1.04959858e-04, 9.43943661e-01, 3.23456219e+00, 6.72453223e+01
1.07546139e-04, 4.67041835e-05, 9.99892465e-01, 1.07535996e-04, 9.43941085e-01, 3.23455961e+00, 6.72454529e+01
1.10186004e-04, 4.78505373e-05, 9.99889826e-01, 1.10175357e-04, 9.43938446e-01, 3.23455697e+00, 6.72455867e+01
1.12890668e-04, 4.90250268e-05, 9.99887122e-01, 1.12879491e-04, 9.43935741e-01, 3.23455427e+00, 6.72457239e+01
1.15661721e-04, 5.02283424e-05, 9.99884352e-01, 1.15649989e-04, 9.43932971e-01, 3.23455149e+00, 6.72458644e+01
1.18500793e-04, 5.14611916e-05, 9.99881513e-01, 1.18488479e-04, 9.43930132e-01, 3.23454866e+00, 6.72460083e+01
1.21409555e-04, 5.27242991e-05, 9.99878605e-01, 1.21396628e-04, 9.43927224e-01, 3.23454575e+00, 6.72461558e+01
1.24389715e-04, 5.40184074e-05, 9.99875626e-01, 1.24376147e-04, 9.43924245e-01, 3.23454277e+00, 6.72463069e+01
1.27443028e-04, 5.53442774e-05, 9.99872573e-01, 1.27428785e-04, 9.43921192e-01, 3.23453971e+00, 6.72464617e+01
1.30571289e-04, 5.67026884e-05, 9.99869446e-01, 1.30556338e-04, 9.43918065e-01, 3.23453659e+00, 6.72466203e+01
1.33776337e-04, 5.80944390e-05, 9.99866242e-01, 1.33760643e-04, 9.43914860e-01, 3.23453338e+00, 6.72467828e+01
1.37060057e-04, 5.95203474e-05, 9.99862959e-01, 1.37043583e-04, 9.43911577e-01, 3.23453010e+00, 6.72469492e+01
1.40424380e-04, 6.09812518e-05, 9.99859595e-01, 1.40407088e-04, 9.43908214e-01, 3.23452673e+00, 6.72471198e+01
1.43871285e-04, 6.24780110e-05, 9.99856149e-01, 1.43853134e-04, 9.43904768e-01, 3.23452329e+00, 6.72472946e+01
1.47402799e-04, 6.40115048e-05, 9.99852619e-01, 1.47383746e-04, 9.43901237e-01, 3.23451976e+00, 6.72474736e+01
1.51020999e-04, 6.55826346e-05, 9.99849002e-01, 1.51000999e-04, 9.43897620e-01, 3.23451614e+00, 6.72476570e+01
1.54728013e-04, 6.71923241e-05, 9.99845296e-01, 1.54707019e-04, 9.43893914e-01, 3.23451243e+00, 6.72478450e+01
1.58526020e-04, 6.88415193e-05, 9.99841499e-01, 1.58503983e-04, 9.43890117e-01, 3.23450863e+00, 6.72480375e+01
1.62417254e-04, 7.05311897e-05, 9.99837609e-01, 1.62394122e-04, 9.43886227e-01, 3.23450474e+00, 6.72482348e+01
1.66404004e-04, 7.22623286e-05, 9.99833624e-01, 1.66379723e-04, 9.43882241e-01, 3.23450076e+00, 6.72484369e+01
1.70488614e-04, 7.40359535e-05, 9.99829540e-01, 1.70463126e-04, 9.43878158e-01, 3.23449667e+00, 6.72486440e+01
1.74673487e-04, 7.58531068e-05, 9.99825357e-01, 1.74646732e-04, 9.43873974e-01, 3.23449249e+00, 6.72488561e+01
1.78961082e-04, 7.77148567e-05, 9.99821071e-01, 1.78932998e-04, 9.43869688e-01, 3.23448820e+00, 6.72490735e+01
1.83353923e-04, 7.96222975e-05, 9.99816680e-01, 1.83324443e-04, 9.43865296e-01, 3.23448381e+00, 6.72492962e+01
1.87854591e-04, 8.15765504e-05, 9.99812181e-01, 1.87823647e-04, 9.43860797e-01, 3.23447931e+00, 6.72495244e+01
1.92465735e-04, 8.35787638e-05, 9.99807571e-01, 1.92433253e-04, 9.43856188e-01, 3.23447470e+00, 6.72497581e+01
