 --- Cosmological Parameters --- 
	 H0: 2.1927e-18 (1/s) = 67.6600 (km/s/Mpc) 
	 OmegaM: 3.1110e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.8890e-01 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.6009e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99926672e-05, 9.54226437e-01, 3.25654047e+00, 6.76631576e+01
1.02454634e-04, 4.44932032e-05, 9.99897556e-01, 1.02446937e-04, 9.54223982e-01, 3.25653802e+00, 6.76632351e+01
1.04969521e-04, 4.55852914e-05, 9.99895041e-01, 1.04961442e-04, 9.54221468e-01, 3.25653550e+00, 6.76633145e+01
1.07546139e-04, 4.67041835e-05, 9.99892465e-01, 1.07537658e-04, 9.54218892e-01, 3.25653293e+00, 6.76633959e+01
1.10186004e-04, 4.78505373e-05, 9.99889826e-01, 1.10177101e-04, 9.54216252e-01, 3.25653029e+00, 6.76634793e+01
1.12890668e-04, 4.90250268e-05, 9.99887122e-01, 1.12881322e-04, 9.54213548e-01, 3.25652758e+00, 6.76635647e+01
1.15661721e-04, 5.02283424e-05, 9.99884352e-01, 1.15651911e-04, 9.54210777e-01, 3.25652481e+00, 6.76636522e+01
1.18500793e-04, 5.14611916e-05, 9.99881513e-01, 1.18490496e-04, 9.54207939e-01, 3.25652197e+00, 6.76637418e+01
1.21409555e-04, 5.27242991e-05, 9.99878605e-01, 1.21398746e-04, 9.54205030e-01, 3.25651906e+00, 6.76638337e+01
1.24389715e-04, 5.40184074e-05, 9.99875626e-01, 1.24378370e-04, 9.54202051e-01, 3.25651608e+00, 6.76639278e+01
1.27443028e-04, 5.53442774e-05, 9.99872573e-01, 1.27431119e-04, 9.54198998e-01, 3.25651303e+00, 6.76640242e+01
1.30571289e-04, 5.67026884e-05, 9.99869446e-01, 1.30558787e-04, 9.54195870e-01, 3.25650990e+00, 6.76641230e+01
1.33776337e-04, 5.80944390e-05, 9.99866242e-01, 1.33763214e-04, 9.54192666e-01, 3.25650670e+00, 6.76642242e+01
1.37060057e-04, 5.95203474e-05, 9.99862959e-01, 1.37046282e-04, 9.54189383e-01, 3.25650341e+00, 6.76643279e+01
1.40424380e-04, 6.09812518e-05, 9.99859595e-01, 1.40409921e-04, 9.54186019e-01, 3.25650005e+00, 6.76644342e+01
1.43871285e-04, 6.24780110e-05, 9.99856149e-01, 1.43856108e-04, 9.54182573e-01, 3.25649660e+00, 6.76645430e+01
1.47402799e-04, 6.40115048e-05, 9.99852619e-01, 1.47386867e-04, 9.54179042e-01, 3.25649307e+00, 6.76646546e+01
1.51020999e-04, 6.55826346e-05, 9.99849002e-01, 1.51004276e-04, 9.54175425e-01, 3.25648945e+00, 6.76647688e+01
1.54728013e-04, 6.71923241e-05, 9.99845296e-01, 1.54710458e-04, 9.54171719e-01, 3.25648575e+00, 6.76648859e+01
1.58526020e-04, 6.88415193e-05, 9.99841499e-01, 1.58507593e-04, 9.54167922e-01, 3.25648195e+00, 6.76650058e+01
1.62417254e-04, 7.05311897e-05, 9.99837609e-01, 1.62397912e-04, 9.54164031e-01, 3.25647806e+00, 6.76651287e+01
1.66404004e-04, 7.22623286e-05, 9.99833624e-01, 1.66383700e-04, 9.54160046e-01, 3.25647407e+00, 6.76652546e+01
1.70488614e-04, 7.40359535e-05, 9.99829540e-01, 1.70467301e-04, 9.54155962e-01, 3.25646999e+00, 6.76653836e+01
1.74673487e-04, 7.58531068e-05, 9.99825357e-01, 1.74651115e-04, 9.54151778e-01, 3.25646580e+00, 6.76655158e+01
1.78961082e-04, 7.77148567e-05, 9.99821071e-01, 1.78937599e-04, 9.54147492e-01, 3.25646152e+00, 6.76656512e+01
1.83353923e-04, 7.96222975e-05, 9.99816680e-01, 1.83329272e-04, 9.54143100e-01, 3.25645712e+00, 6.76657899e+01
1.87854591e-04, 8.15765504e-05, 9.99812181e-01, 1.87828716e-04, 9.54138601e-01, 3.25645262e+00, 6.76659321e+01
1.92465735e-04, 8.35787638e-05, 9.99807571e-01, 1.92438573e-04, 9.54133991e-01, 3.25644801e+00, 6.76660777e+01
1.97190065e-04, 8.56301147e-05, 9.99802849e-01, 1.97161554e-04, 9.54129268e-01, 3.25644329e+00, 6.76662269e+01
2.02030360e-04, 8.77318088e-05, 9.99798010e-01, 2.02000432e-04, 9.54124429e-01, 3.25643845e+00, 6.76663798e+01
2.06989467e-04, 8.98850811e-05, 9.99793053e-01, 2.06958052e-04, 9.54119471e-01, 3.25643349e+00, 6.76665364e+01
2.12070302e-04, 9.20911974e-05, 9.99787975e-01, 2.12037326e-04, 9.54114392e-01, 3.25642841e+00, 6.76666969e+01
2.17275853e-04, 9.43514542e-05, 9.99782771e-01, 2.17241238e-04, 9.54109188e-01, 3.25642321e+00, 6.76668613e+01
2.22609181e-04, 9.66671797e-05, 9.99777440e-01, 2.22572846e-04, 9.54103856e-01, 3.25641787e+00, 6.76670298e+01
2.28073423e-04, 9.90397351e-05, 9.99771979e-01, 2.28035282e-04, 9.54098394e-01, 3.25641241e+00, 6.76672023e+01
2.33671791e-04, 1.01470515e-04, 9.99766383e-01, 2.33631756e-04, 9.54092797e-01, 3.25640681e+00, 6.76673792e+01
2.39407580e-04, 1.03960947e-04, 9.99760650e-01, 2.39365555e-04, 9.54087064e-01, 3.25640108e+00, 6.76675603e+01
2.45284161e-04, 1.06512495e-04, 9.99754776e-01, 2.45240047e-04, 9.54081189e-01, 3.25639520e+00, 6.76677459e+01
2.51304990e-04, 1.09126659e-04, 9.99748758e-01, 2.51258685e-04, 9.54075171e-01, 3.25638918e+00, 6.76679361e+01
