 --- Cosmological Parameters --- 
	 H0: 2.1561e-18 (1/s) = 66.5300 (km/s/Mpc) 
	 OmegaM: 3.2300e-01 
	 OmegaR: 0.0000e+00 
	 OmegaL: 6.7700e-01 
	 OmegaK: 0.0000e+00 
		 w0: -6.5000e-01 
		 wa: -1.2700e+00 
	 rho_crit: 8.3160e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99908014e-05, 9.34135218e-01, 3.20018343e+00, 6.65355877e+01
1.02454634e-04, 4.44932032e-05, 9.99897556e-01, 1.02444979e-04, 9.34132763e-01, 3.20018098e+00, 6.65357248e+01
1.04969521e-04, 4.55852914e-05, 9.99895041e-01, 1.04959386e-04, 9.34130249e-01, 3.20017846e+00, 6.65358653e+01
1.07546139e-04, 4.67041835e-05, 9.99892465e-01, 1.07535500e-04, 9.34127673e-01, 3.20017589e+00, 6.65360093e+01
1.10186004e-04, 4.78505373e-05, 9.99889826e-01, 1.10174836e-04, 9.34125033e-01, 3.20017325e+00, 6.65361568e+01
1.12890668e-04, 4.90250268e-05, 9.99887122e-01, 1.12878945e-04, 9.34122329e-01, 3.20017054e+00, 6.65363079e+01
1.15661721e-04, 5.02283424e-05, 9.99884352e-01, 1.15649415e-04, 9.34119559e-01, 3.20016777e+00, 6.65364628e+01
1.18500793e-04, 5.14611916e-05, 9.99881513e-01, 1.18487876e-04, 9.34116720e-01, 3.20016493e+00, 6.65366214e+01
1.21409555e-04, 5.27242991e-05, 9.99878605e-01, 1.21395996e-04, 9.34113812e-01, 3.20016202e+00, 6.65367839e+01
1.24389715e-04, 5.40184074e-05, 9.99875626e-01, 1.24375483e-04, 9.34110833e-01, 3.20015904e+00, 6.65369504e+01
1.27443028e-04, 5.53442774e-05, 9.99872573e-01, 1.27428089e-04, 9.34107780e-01, 3.20015599e+00, 6.65371210e+01
1.30571289e-04, 5.67026884e-05, 9.99869446e-01, 1.30555607e-04, 9.34104653e-01, 3.20015286e+00, 6.65372958e+01
1.33776337e-04, 5.80944390e-05, 9.99866242e-01, 1.33759875e-04, 9.34101448e-01, 3.20014966e+00, 6.65374748e+01
1.37060057e-04, 5.95203474e-05, 9.99862959e-01, 1.37042777e-04, 9.34098166e-01, 3.20014638e+00, 6.65376583e+01
1.40424380e-04, 6.09812518e-05, 9.99859595e-01, 1.40406242e-04, 9.34094802e-01, 3.20014301e+00, 6.65378463e+01
1.43871285e-04, 6.24780110e-05, 9.99856149e-01, 1.43852246e-04, 9.34091356e-01, 3.20013957e+00, 6.65380389e+01
1.47402799e-04, 6.40115048e-05, 9.99852619e-01, 1.47382814e-04, 9.34087826e-01, 3.20013603e+00, 6.65382362e+01
1.51020999e-04, 6.55826346e-05, 9.99849002e-01, 1.51000021e-04, 9.34084208e-01, 3.20013242e+00, 6.65384383e+01
1.54728013e-04, 6.71923241e-05, 9.99845296e-01, 1.54705992e-04, 9.34080502e-01, 3.20012871e+00, 6.65386454e+01
1.58526020e-04, 6.88415193e-05, 9.99841499e-01, 1.58502905e-04, 9.34076705e-01, 3.20012491e+00, 6.65388576e+01
1.62417254e-04, 7.05311897e-05, 9.99837609e-01, 1.62392991e-04, 9.34072815e-01, 3.20012102e+00, 6.65390750e+01
1.66404004e-04, 7.22623286e-05, 9.99833624e-01, 1.66378535e-04, 9.34068830e-01, 3.20011704e+00, 6.65392978e+01
1.70488614e-04, 7.40359535e-05, 9.99829540e-01, 1.70461879e-04, 9.34064746e-01, 3.20011295e+00, 6.65395260e+01
1.74673487e-04, 7.58531068e-05, 9.99825357e-01, 1.74645423e-04, 9.34060563e-01, 3.20010877e+00, 6.65397598e+01
1.78961082e-04, 7.77148567e-05, 9.99821071e-01, 1.78931624e-04, 9.34056277e-01, 3.20010448e+00, 6.65399993e+01
1.83353923e-04, 7.96222975e-05, 9.99816680e-01, 1.83323001e-04, 9.34051885e-01, 3.20010009e+00, 6.65402447e+01
1.87854591e-04, 8.15765504e-05, 9.99812181e-01, 1.87822133e-04, 9.34047386e-01, 3.20009559e+00, 6.65404962e+01
1.92465735e-04, 8.35787638e-05, 9.99807571e-01, 1.92431664e-04, 9.34042777e-01, 3.20009098e+00, 6.65407538e+01
1.97190065e-04, 8.56301147e-05, 9.99802849e-01, 1.97154301e-04, 9.34038054e-01, 3.20008625e+00, 6.65410177e+01
2.02030360e-04, 8.77318088e-05, 9.99798010e-01, 2.01992819e-04, 9.34033216e-01, 3.20008141e+00, 6.65412881e+01
2.06989467e-04, 8.98850811e-05, 9.99793053e-01, 2.06950061e-04, 9.34028258e-01, 3.20007646e+00, 6.65415652e+01
2.12070302e-04, 9.20911974e-05, 9.99787975e-01, 2.12028938e-04, 9.34023179e-01, 3.20007138e+00, 6.65418490e+01
2.17275853e-04, 9.43514542e-05, 9.99782771e-01, 2.17232433e-04, 9.34017976e-01, 3.20006617e+00, 6.65421398e+01
2.22609181e-04, 9.66671797e-05, 9.99777440e-01, 2.22563603e-04, 9.34012645e-01, 3.20006084e+00, 6.65424378e+01
2.28073423e-04, 9.90397351e-05, 9.99771979e-01, 2.28025580e-04, 9.34007183e-01, 3.20005538e+00, 6.65427430e+01
2.33671791e-04, 1.01470515e-04, 9.99766383e-01, 2.33621572e-04, 9.34001587e-01, 3.20004978e+00, 6.65430558e+01
2.39407580e-04, 1.03960947e-04, 9.99760650e-01, 2.39354865e-04, 9.33995853e-01, 3.20004404e+00, 6.65433762e+01
2.45284161e-04, 1.06512495e-04, 9.99754776e-01, 2.45228827e-04, 9.33989979e-01, 3.20003817e+00, 6.65437045e+01
2.51304990e-04, 1.09126659e-04, 9.99748758e-01, 2.51246907e-04, 9.33983961e-01, 3.20003215e+00, 6.65440409e+01
2.57473609e-04, 1.11804975e-04, 9.99742593e-01, 2.57412640e-04, 9.33977796e-01, 3.20002598e+00, 6.65443855e+01
