z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, d_L, d_LOS, d_trans, d_ang, d_mod, H(z), rho_c(z) 
1.00000000e-03, 4.34077479e-04, 9.99000999e-01, 9.99123775e-04, 1.17260968e+00, 3.20652771e+00, 4.46132024e+00, 4.45686338e+00, 4.45686338e+00, 4.45241097e+00, 2.82473170e+01, 6.72906904e+01, 8.50725640e-30
2.01398798e-01, 7.96871930e-02, 8.32363077e-01, 1.71719377e-01, 9.14262124e-01, 3.00624747e+00, 1.00756470e+03, 8.38659652e+02, 8.38659652e+02, 6.98069328e+02, 4.00163647e+01, 7.67906664e+01, 1.10788945e-29
4.01797595e-01, 1.46685311e-01, 7.13369750e-01, 2.99484689e-01, 7.41740087e-01, 2.83973574e+00, 2.21142300e+03, 1.57756227e+03, 1.57756227e+03, 1.12538520e+03, 4.17233591e+01, 8.60700491e+01, 1.39182187e-29
6.02196393e-01, 2.04715750e-01, 6.24143210e-01, 3.98417643e-01, 6.15429169e-01, 2.69195581e+00, 3.58617961e+03, 2.23828965e+03, 2.23828965e+03, 1.39701329e+03, 4.27731602e+01, 9.61555014e+01, 1.73711203e-29
8.02595190e-01, 2.55898208e-01, 5.54755724e-01, 4.76492448e-01, 5.18686197e-01, 2.55822826e+00, 5.10055301e+03, 2.82956098e+03, 2.82956098e+03, 1.56971515e+03, 4.35380863e+01, 1.07498472e+02, 2.17112153e-29
1.00299399e+00, 3.01679646e-01, 4.99252622e-01, 5.38934943e-01, 4.42882919e-01, 2.43711458e+00, 6.72664306e+03, 3.35829418e+03, 3.35829418e+03, 1.67663718e+03, 4.41389919e+01, 1.20221315e+02, 2.71545432e-29
1.20339279e+00, 3.43091923e-01, 4.53845545e-01, 5.89458783e-01, 3.82637230e-01, 2.32781211e+00, 8.44183813e+03, 3.83129063e+03, 3.83129063e+03, 1.73881418e+03, 4.46321851e+01, 1.34285904e+02, 3.38797663e-29
1.40379158e+00, 3.80896810e-01, 4.16009444e-01, 6.30797225e-01, 3.34189128e-01, 2.22940846e+00, 1.02287677e+04, 4.25526397e+03, 4.25526397e+03, 1.77023000e+03, 4.50491166e+01, 1.49591605e+02, 4.20430288e-29
1.60419038e+00, 4.15672730e-01, 3.83996503e-01, 6.64989968e-01, 2.94781848e-01, 2.14082529e+00, 1.20744013e+04, 4.63652788e+03, 4.63652788e+03, 1.78041049e+03, 4.54093280e+01, 1.66024508e+02, 5.17873821e-29
1.80458918e+00, 4.47869254e-01, 3.56558461e-01, 6.93570003e-01, 2.62361988e-01, 2.06093033e+00, 1.39690003e+04, 4.98076523e+03, 4.98076523e+03, 1.77593398e+03, 4.57258266e+01, 1.83478486e+02, 6.32484442e-29
2.00498798e+00, 4.77842739e-01, 3.32780034e-01, 7.17696894e-01, 2.35391654e-01, 1.98863828e+00, 1.59052216e+04, 5.29294018e+03, 5.29294018e+03, 1.76138481e+03, 4.60076986e+01, 2.01862068e+02, 7.65577200e-29
