z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, d_L, d_LOS, d_trans, d_ang, d_mod, H(z), rho_c(z) 
1.00000000e-03, 4.34077479e-04, 9.99000999e-01, 9.99179566e-04, 1.17650698e+00, 3.23358858e+00, 4.40975932e+00, 4.40535397e+00, 4.40535397e+00, 4.40095301e+00, 2.82220744e+01, 6.80736874e+01, 8.70638976e-30
2.01398798e-01, 7.96871930e-02, 8.32363077e-01, 1.73062731e-01, 9.25896379e-01, 3.04216914e+00, 1.00386442e+03, 8.35579675e+02, 8.35579675e+02, 6.95505670e+02, 4.00083753e+01, 7.66354304e+01, 1.10341468e-29
4.01797595e-01, 1.46685311e-01, 7.13369750e-01, 3.02850986e-01, 7.52548824e-01, 2.87576048e+00, 2.21132706e+03, 1.57749383e+03, 1.57749383e+03, 1.12533638e+03, 4.17232649e+01, 8.56339989e+01, 1.37775503e-29
6.02196393e-01, 2.04715750e-01, 6.24143210e-01, 4.03423505e-01, 6.23934712e-01, 2.72550225e+00, 3.59110426e+03, 2.24136334e+03, 2.24136334e+03, 1.39893171e+03, 4.27761401e+01, 9.57677325e+01, 1.72312968e-29
8.02595190e-01, 2.55898208e-01, 5.54755724e-01, 4.82658962e-01, 5.25222692e-01, 2.58907321e+00, 5.10935566e+03, 2.83444430e+03, 2.83444430e+03, 1.57242420e+03, 4.35418307e+01, 1.07282634e+02, 2.16241182e-29
1.00299399e+00, 3.01679646e-01, 4.99252622e-01, 5.45905036e-01, 4.48041780e-01, 2.46573640e+00, 6.73758012e+03, 3.36375454e+03, 3.36375454e+03, 1.67936327e+03, 4.41425197e+01, 1.20194554e+02, 2.71424556e-29
1.20339279e+00, 3.43091923e-01, 4.53845545e-01, 5.97001214e-01, 3.86877791e-01, 2.35474218e+00, 8.45342577e+03, 3.83654963e+03, 3.83654963e+03, 1.74120096e+03, 4.46351637e+01, 1.34420389e+02, 3.39476607e-29
1.40379158e+00, 3.80896810e-01, 4.16009444e-01, 6.38767700e-01, 3.37806763e-01, 2.25505084e+00, 1.02399995e+04, 4.25993650e+03, 4.25993650e+03, 1.77217382e+03, 4.50514997e+01, 1.49846779e+02, 4.21865858e-29
1.60419038e+00, 4.15672730e-01, 3.83996503e-01, 6.73296968e-01, 2.97955539e-01, 2.16545076e+00, 1.20846959e+04, 4.64048099e+03, 4.64048099e+03, 1.78192847e+03, 4.54111786e+01, 1.66361436e+02, 5.19977887e-29
1.80458918e+00, 4.47869254e-01, 3.56558461e-01, 7.02152699e-01, 2.65200348e-01, 2.08471341e+00, 1.39780804e+04, 4.98400283e+03, 4.98400283e+03, 1.77708838e+03, 4.57272377e+01, 1.83864879e+02, 6.35151186e-29
