z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, d_L, d_LOS, d_trans, d_ang, d_mod, H(z), rho_c(z) 
1.00000000e-03, 4.34077479e-04, 9.99000999e-01, 9.99080982e-04, 1.16893856e+00, 3.18152715e+00, 4.50873775e+00, 4.50423352e+00, 4.50423352e+00, 4.49973379e+00, 2.82702749e+01, 6.65858561e+01, 8.32997177e-30
2.01398798e-01, 7.96871930e-02, 8.32363077e-01, 1.70676454e-01, 9.04599101e-01, 2.97449152e+00, 1.01196475e+03, 8.42322093e+02, 8.42322093e+02, 7.01117809e+02, 4.00258269e+01, 7.68106005e+01, 1.10846472e-29
4.01797595e-01, 1.46685311e-01, 7.13369750e-01, 2.96830707e-01, 7.32581928e-01, 2.80778459e+00, 2.21437226e+03, 1.57966618e+03, 1.57966618e+03, 1.12688607e+03, 4.17262532e+01, 8.63440334e+01, 1.40069706e-29
6.02196393e-01, 2.04715750e-01, 6.24143210e-01, 3.94409966e-01, 6.07999773e-01, 2.66185417e+00, 3.58621263e+03, 2.23831027e+03, 2.23831027e+03, 1.39702615e+03, 4.27731802e+01, 9.64284752e+01, 1.74698893e-29
8.02595190e-01, 2.55898208e-01, 5.54755724e-01, 4.71487054e-01, 5.12810363e-01, 2.53025445e+00, 5.09821238e+03, 2.82826250e+03, 2.82826250e+03, 1.56899481e+03, 4.35370896e+01, 1.07667042e+02, 2.17793604e-29
1.00299399e+00, 3.01679646e-01, 4.99252622e-01, 5.33210619e-01, 4.38143182e-01, 2.41097164e+00, 6.72303197e+03, 3.35649134e+03, 3.35649134e+03, 1.67573710e+03, 4.41378259e+01, 1.20265744e+02, 2.71746174e-29
1.20339279e+00, 3.43091923e-01, 4.53845545e-01, 5.83204272e-01, 3.78688195e-01, 2.30312300e+00, 8.43794156e+03, 3.82952219e+03, 3.82952219e+03, 1.73801159e+03, 4.46311826e+01, 1.34223412e+02, 3.38482409e-29
1.40379158e+00, 3.80896810e-01, 4.16009444e-01, 6.24135790e-01, 3.30798586e-01, 2.20587042e+00, 1.02252572e+04, 4.25380358e+03, 4.25380358e+03, 1.76962246e+03, 4.50483712e+01, 1.49450603e+02, 4.19638085e-29
1.60419038e+00, 4.15672730e-01, 3.83996503e-01, 6.58003498e-01, 2.91802995e-01, 2.11822646e+00, 1.20716564e+04, 4.63547386e+03, 4.63547386e+03, 1.78000575e+03, 4.54088343e+01, 1.65832783e+02, 5.16678431e-29
1.80458918e+00, 4.47869254e-01, 3.56558461e-01, 6.86315324e-01, 2.59701656e-01, 2.03912779e+00, 1.39671907e+04, 4.98012000e+03, 4.98012000e+03, 1.77570392e+03, 4.57255453e+01, 1.83258975e+02, 6.30971958e-29
2.00498798e+00, 4.77842739e-01, 3.32780034e-01, 7.10215523e-01, 2.32988339e-01, 1.96753396e+00, 1.59043854e+04, 5.29266190e+03, 5.29266190e+03, 1.76129220e+03, 4.60075845e+01, 2.01632151e+02, 7.63834236e-29
2.20538677e+00, 5.05880441e-01, 3.11974832e-01, 7.30578027e-01, 2.10524752e-01, 1.90248965e+00, 1.78775411e+04, 5.57734288e+03, 5.57734288e+03, 1.73999061e+03, 4.62615389e+01, 2.20871195e+02, 9.16553282e-29
2.40578557e+00, 5.32217301e-01, 2.93618015e-01, 7.48075513e-01, 1.91446625e-01, 1.84315072e+00, 1.98822285e+04, 5.83778046e+03, 5.83778046e+03, 1.71407751e+03, 4.64923253e+01, 2.40909512e+02, 1.09040404e-28
2.60618437e+00, 5.57047927e-01, 2.77301407e-01, 7.63230283e-01, 1.75093333e-01, 1.78878733e+00, 2.19149342e+04, 6.07704210e+03, 6.07704210e+03, 1.68517233e+03, 4.67037009e+01, 2.61692651e+02, 1.28665647e-28
2.80658317e+00, 5.80535323e-01, 2.62702785e-01, 7.76451651e-01, 1.60955720e-01, 1.73877569e+00, 2.39728160e+04, 6.29772552e+03, 6.29772552e+03, 1.65443003e+03, 4.68985953e+01, 2.83175918e+02, 1.50657997e-28
3.00698196e+00, 6.02817388e-01, 2.49564388e-01, 7.88063410e-01, 1.48637719e-01, 1.69258523e+00, 2.60535310e+04, 6.50203352e+03, 6.50203352e+03, 1.62267601e+03, 4.70793330e+01, 3.05322322e+02, 1.75144566e-28
3.20738076e+00, 6.24011817e-01, 2.37677562e-01, 7.98324088e-01, 1.37828232e-01, 1.64976502e+00, 2.81551167e+04, 6.69183947e+03, 6.69183947e+03, 1.59050009e+03, 4.72477867e+01, 3.28100912e+02, 2.02252747e-28
3.40777956e+00, 6.44219867e-01, 2.26871600e-01, 8.07441964e-01, 1.28280502e-01, 1.60993123e+00, 3.02759040e+04, 6.86874278e+03, 6.86874278e+03, 1.55832266e+03, 4.74054856e+01, 3.51485475e+02, 2.32110250e-28
3.60817836e+00, 6.63529280e-01, 2.17005489e-01, 8.15586287e-01, 1.19796922e-01, 1.57275608e+00, 3.24144562e+04, 7.03411493e+03, 7.03411493e+03, 1.52644155e+03, 4.75536937e+01, 3.75453542e+02, 2.64845114e-28
3.80857715e+00, 6.82016589e-01, 2.07961725e-01, 8.22895716e-01, 1.12217776e-01, 1.53795851e+00, 3.45695222e+04, 7.18913748e+03, 7.18913748e+03, 1.49506543e+03, 4.76934669e+01, 3.99985612e+02, 3.00585683e-28
4.00897595e+00, 6.99748947e-01, 1.99641605e-01, 8.29484728e-01, 1.05412833e-01, 1.50529646e+00, 3.67400027e+04, 7.33483312e+03, 7.33483312e+03, 1.46433786e+03, 4.78256959e+01, 4.25064567e+02, 3.39460590e-28
4.20937475e+00, 7.16785601e-01, 1.91961617e-01, 8.35448524e-01, 9.92750146e-02, 1.47456044e+00, 3.89249233e+04, 7.47209122e+03, 7.47209122e+03, 1.43435471e+03, 4.79511388e+01, 4.50675220e+02, 3.81598723e-28
4.40977355e+00, 7.33179086e-01, 1.84850621e-01, 8.40866813e-01, 9.37155878e-02, 1.44556835e+00, 4.11234144e+04, 7.60168868e+03, 7.60168868e+03, 1.40517687e+03, 4.80704458e+01, 4.76803962e+02, 4.27129203e-28
4.61017234e+00, 7.48976203e-01, 1.78247643e-01, 8.45806768e-01, 8.86604780e-02, 1.41816107e+00, 4.33346948e+04, 7.72430723e+03, 7.72430723e+03, 1.37683956e+03, 4.81841787e+01, 5.03438492e+02, 4.76181358e-28
4.81057114e+00, 7.64218823e-01, 1.72100122e-01, 8.50325330e-01, 8.40474207e-02, 1.39219902e+00, 4.55580591e+04, 7.84054751e+03, 7.84054751e+03, 1.34935918e+03, 4.82928261e+01, 5.30567598e+02, 5.28884698e-28
