z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H(z) 
1.00000000e-06, 4.34294265e-07, 9.99999000e-01, 9.99999275e-07, 9.64098343e-01, 3.29352788e+00, 6.76600304e+01
2.00400901e+00, 4.77701232e-01, 3.32888482e-01, 7.33555393e-01, 2.30543950e-01, 2.08270748e+00, 2.01082474e+02
4.00801703e+00, 6.99665797e-01, 1.99679832e-01, 8.55827964e-01, 1.08271380e-01, 1.61798954e+00, 4.19168157e+02
6.01202504e+00, 8.45843458e-01, 1.42612155e-01, 8.98621553e-01, 6.54777901e-02, 1.36673547e+00, 6.90434466e+02
8.01603306e+00, 9.55015495e-01, 1.10913524e-01, 9.19163352e-01, 4.49359910e-02, 1.20425539e+00, 1.00486124e+03
1.00200411e+01, 1.04218321e+00, 9.07437634e-02, 9.30837472e-01, 3.32618708e-02, 1.08827836e+00, 1.35689334e+03
1.20240491e+01, 1.11474602e+00, 7.67810374e-02, 9.38208153e-01, 2.58911900e-02, 1.00018067e+00, 1.74277324e+03
1.40280571e+01, 1.17690284e+00, 6.65422013e-02, 9.43209109e-01, 2.08902342e-02, 9.30335337e-01, 2.15971334e+03
1.60320651e+01, 1.23126731e+00, 5.87127863e-02, 9.46784761e-01, 1.73145819e-02, 8.73204062e-01, 2.60553018e+03
1.80360731e+01, 1.27957736e+00, 5.25318427e-02, 9.49445334e-01, 1.46540087e-02, 8.25346552e-01, 3.07845001e+03
2.00400811e+01, 1.32304741e+00, 4.75283338e-02, 9.51488110e-01, 1.26112328e-02, 7.84498554e-01, 3.57699331e+03
2.20440892e+01, 1.36255955e+00, 4.33950760e-02, 9.53096790e-01, 1.10025531e-02, 7.49100969e-01, 4.09990074e+03
2.40480972e+01, 1.39877474e+00, 3.99231923e-02, 9.54390365e-01, 9.70897844e-03, 7.18040566e-01, 4.64608305e+03
2.60521052e+01, 1.43220107e+00, 3.69656998e-02, 9.55448946e-01, 8.65039720e-03, 6.90498421e-01, 5.21458575e+03
2.80561132e+01, 1.46323752e+00, 3.44161655e-02, 9.56328238e-01, 7.77110541e-03, 6.65856899e-01, 5.80456331e+03
3.00601212e+01, 1.49220315e+00, 3.21956245e-02, 9.57068047e-01, 7.03129600e-03, 6.43640215e-01, 6.41525980e+03
3.20641292e+01, 1.51935709e+00, 3.02442563e-02, 9.57697498e-01, 6.40184560e-03, 6.23475125e-01, 7.04599405e+03
3.40681372e+01, 1.54491270e+00, 2.85159144e-02, 9.58238335e-01, 5.86100780e-03, 6.05064156e-01, 7.69614808e+03
3.60721453e+01, 1.56904772e+00, 2.69744303e-02, 9.58707092e-01, 5.39225127e-03, 5.88166916e-01, 8.36515788e+03
3.80761533e+01, 1.59191180e+00, 2.55910553e-02, 9.59116534e-01, 4.98280879e-03, 5.72586740e-01, 9.05250595e+03
4.00801613e+01, 1.61363214e+00, 2.43426503e-02, 9.59476663e-01, 4.62268022e-03, 5.58160969e-01, 9.75771522e+03
4.20841693e+01, 1.63431772e+00, 2.32103814e-02, 9.59795410e-01, 4.30393330e-03, 5.44753746e-01, 1.04803441e+04
4.40881773e+01, 1.65406268e+00, 2.21787630e-02, 9.60079139e-01, 4.02020403e-03, 5.32250593e-01, 1.12199822e+04
4.60921853e+01, 1.67294884e+00, 2.12349457e-02, 9.60333009e-01, 3.76633366e-03, 5.20554270e-01, 1.19762469e+04
4.80961933e+01, 1.69104782e+00, 2.03681779e-02, 9.60561242e-01, 3.53810104e-03, 5.09581578e-01, 1.27487802e+04
5.01002014e+01, 1.70842261e+00, 1.95693945e-02, 9.60767321e-01, 3.33202241e-03, 4.99260852e-01, 1.35372464e+04
5.21042094e+01, 1.72512895e+00, 1.88308989e-02, 9.60954143e-01, 3.14519988e-03, 4.89529986e-01, 1.43413299e+04
5.41082174e+01, 1.74121636e+00, 1.81461141e-02, 9.61124138e-01, 2.97520532e-03, 4.80334853e-01, 1.51607328e+04
5.61122254e+01, 1.75672908e+00, 1.75093860e-02, 9.61279353e-01, 2.81999056e-03, 4.71628033e-01, 1.59951739e+04
5.81162334e+01, 1.77170676e+00, 1.69158274e-02, 9.61421526e-01, 2.67781716e-03, 4.63367783e-01, 1.68443868e+04
6.01202414e+01, 1.78618506e+00, 1.63611919e-02, 9.61552142e-01, 2.54720102e-03, 4.55517188e-01, 1.77081190e+04
6.21242494e+01, 1.80019623e+00, 1.58417725e-02, 9.61672475e-01, 2.42686833e-03, 4.48043472e-01, 1.85861302e+04
6.41282574e+01, 1.81376946e+00, 1.53543184e-02, 9.61783623e-01, 2.31572026e-03, 4.40917413e-01, 1.94781920e+04
6.61322655e+01, 1.82693130e+00, 1.48959668e-02, 9.61886539e-01, 2.21280450e-03, 4.34112869e-01, 2.03840863e+04
6.81362735e+01, 1.83970597e+00, 1.44641872e-02, 9.61982051e-01, 2.11729200e-03, 4.27606368e-01, 2.13036052e+04
7.01402815e+01, 1.85211558e+00, 1.40567338e-02, 9.62070885e-01, 2.02845807e-03, 4.21376768e-01, 2.22365495e+04
7.21442895e+01, 1.86418043e+00, 1.36716073e-02, 9.62153676e-01, 1.94566673e-03, 4.15404972e-01, 2.31827288e+04
7.41482975e+01, 1.87591915e+00, 1.33070214e-02, 9.62230985e-01, 1.86835780e-03, 4.09673674e-01, 2.41419604e+04
7.61523055e+01, 1.88734891e+00, 1.29613755e-02, 9.62303307e-01, 1.79603616e-03, 4.04167154e-01, 2.51140692e+04
7.81563135e+01, 1.89848556e+00, 1.26332311e-02, 9.62371080e-01, 1.72826272e-03, 3.98871093e-01, 2.60988867e+04
8.01603216e+01, 1.90934376e+00, 1.23212917e-02, 9.62434696e-01, 1.66464687e-03, 3.93772417e-01, 2.70962510e+04
8.21643296e+01, 1.91993709e+00, 1.20243860e-02, 9.62494503e-01, 1.60484010e-03, 3.88859163e-01, 2.81060062e+04
8.41683376e+01, 1.93027817e+00, 1.17414526e-02, 9.62550813e-01, 1.54853059e-03, 3.84120358e-01, 2.91280020e+04
8.61723456e+01, 1.94037873e+00, 1.14715280e-02, 9.62603905e-01, 1.49543859e-03, 3.79545918e-01, 3.01620936e+04
8.81763536e+01, 1.95024971e+00, 1.12137350e-02, 9.62654031e-01, 1.44531245e-03, 3.75126554e-01, 3.12081411e+04
9.01803616e+01, 1.95990131e+00, 1.09672739e-02, 9.62701418e-01, 1.39792531e-03, 3.70853699e-01, 3.22660093e+04
9.21843696e+01, 1.96934307e+00, 1.07314135e-02, 9.62746271e-01, 1.35307211e-03, 3.66719432e-01, 3.33355676e+04
9.41883777e+01, 1.97858392e+00, 1.05054842e-02, 9.62788776e-01, 1.31056714e-03, 3.62716421e-01, 3.44166897e+04
9.61923857e+01, 1.98763224e+00, 1.02888718e-02, 9.62829101e-01, 1.27024182e-03, 3.58837863e-01, 3.55092530e+04
9.81963937e+01, 1.99649588e+00, 1.00810116e-02, 9.62867400e-01, 1.23194281e-03, 3.55077441e-01, 3.66131391e+04
1.00200402e+02, 2.00518224e+00, 9.88138370e-03, 9.62903813e-01, 1.19553037e-03, 3.51429278e-01, 3.77282329e+04
1.02204410e+02, 2.01369825e+00, 9.68950845e-03, 9.62938466e-01, 1.16087693e-03, 3.47887896e-01, 3.88544229e+04
1.04208418e+02, 2.02205049e+00, 9.50494287e-03, 9.62971477e-01, 1.12786577e-03, 3.44448186e-01, 3.99916009e+04
1.06212426e+02, 2.03024512e+00, 9.32727707e-03, 9.63002953e-01, 1.09638995e-03, 3.41105375e-01, 4.11396616e+04
1.08216434e+02, 2.03828799e+00, 9.15613123e-03, 9.63032992e-01, 1.06635135e-03, 3.37854996e-01, 4.22985029e+04
1.10220442e+02, 2.04618462e+00, 8.99115292e-03, 9.63061683e-01, 1.03765972e-03, 3.34692868e-01, 4.34680255e+04
1.12224450e+02, 2.05394022e+00, 8.83201466e-03, 9.63089111e-01, 1.01023200e-03, 3.31615067e-01, 4.46481325e+04
1.14228458e+02, 2.06155975e+00, 8.67841173e-03, 9.63115352e-01, 9.83991602e-04, 3.28617911e-01, 4.58387299e+04
1.16232466e+02, 2.06904790e+00, 8.53006028e-03, 9.63140475e-01, 9.58867782e-04, 3.25697939e-01, 4.70397262e+04
1.18236474e+02, 2.07640912e+00, 8.38669551e-03, 9.63164548e-01, 9.34795141e-04, 3.22851893e-01, 4.82510319e+04
1.20240482e+02, 2.08364765e+00, 8.24807016e-03, 9.63187630e-01, 9.11713119e-04, 3.20076707e-01, 4.94725602e+04
1.22244490e+02, 2.09076751e+00, 8.11395301e-03, 9.63209778e-01, 8.89565570e-04, 3.17369487e-01, 5.07042261e+04
1.24248498e+02, 2.09777253e+00, 7.98412769e-03, 9.63231043e-01, 8.68300374e-04, 3.14727504e-01, 5.19459470e+04
1.26252506e+02, 2.10466634e+00, 7.85839142e-03, 9.63251474e-01, 8.47869088e-04, 3.12148179e-01, 5.31976419e+04
1.28256514e+02, 2.11145244e+00, 7.73655400e-03, 9.63271117e-01, 8.28226640e-04, 3.09629075e-01, 5.44592321e+04
1.30260522e+02, 2.11813413e+00, 7.61843687e-03, 9.63290012e-01, 8.09331037e-04, 3.07167883e-01, 5.57306406e+04
1.32264530e+02, 2.12471457e+00, 7.50387219e-03, 9.63308200e-01, 7.91143122e-04, 3.04762418e-01, 5.70117921e+04
1.34268538e+02, 2.13119680e+00, 7.39270207e-03, 9.63325717e-01, 7.73626335e-04, 3.02410609e-01, 5.83026130e+04
1.36272546e+02, 2.13758369e+00, 7.28477783e-03, 9.63342597e-01, 7.56746511e-04, 3.00110490e-01, 5.96030315e+04
1.38276554e+02, 2.14387801e+00, 7.17995938e-03, 9.63358871e-01, 7.40471688e-04, 2.97860195e-01, 6.09129773e+04
1.40280562e+02, 2.15008241e+00, 7.07811454e-03, 9.63374571e-01, 7.24771939e-04, 2.95657950e-01, 6.22323815e+04
1.42284570e+02, 2.15619942e+00, 6.97911855e-03, 9.63389724e-01, 7.09619210e-04, 2.93502070e-01, 6.35611769e+04
1.44288578e+02, 2.16223147e+00, 6.88285352e-03, 9.63404356e-01, 6.94987186e-04, 2.91390951e-01, 6.48992975e+04
1.46292586e+02, 2.16818089e+00, 6.78920798e-03, 9.63418492e-01, 6.80851156e-04, 2.89323063e-01, 6.62466788e+04
1.48296594e+02, 2.17404990e+00, 6.69807645e-03, 9.63432155e-01, 6.67187897e-04, 2.87296953e-01, 6.76032575e+04
1.50300602e+02, 2.17984066e+00, 6.60935903e-03, 9.63445368e-01, 6.53975564e-04, 2.85311232e-01, 6.89689718e+04
1.52304610e+02, 2.18555521e+00, 6.52296105e-03, 9.63458150e-01, 6.41193595e-04, 2.83364575e-01, 7.03437609e+04
1.54308618e+02, 2.19119556e+00, 6.43879272e-03, 9.63470521e-01, 6.28822617e-04, 2.81455718e-01, 7.17275652e+04
1.56312626e+02, 2.19676358e+00, 6.35676884e-03, 9.63482499e-01, 6.16844364e-04, 2.79583454e-01, 7.31203266e+04
1.58316634e+02, 2.20226112e+00, 6.27680848e-03, 9.63494102e-01, 6.05241600e-04, 2.77746628e-01, 7.45219876e+04
1.60320642e+02, 2.20768994e+00, 6.19883474e-03, 9.63505345e-01, 5.93998051e-04, 2.75944136e-01, 7.59324923e+04
1.62324650e+02, 2.21305174e+00, 6.12277448e-03, 9.63516245e-01, 5.83098338e-04, 2.74174922e-01, 7.73517853e+04
1.64328658e+02, 2.21834814e+00, 6.04855813e-03, 9.63526816e-01, 5.72527919e-04, 2.72437974e-01, 7.87798128e+04
