z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H(z) 
1.00000000e-06, 4.34294265e-07, 9.99999000e-01, 9.99999000e-07, 9.99989000e-01, 1.15129345e+01, 6.76600677e+01
2.00400901e+00, 4.77701232e-01, 3.32888482e-01, 6.67111518e-01, 3.32878482e-01, 1.04129877e+01, 2.03251250e+02
4.00801703e+00, 6.99665797e-01, 1.99679832e-01, 8.00320168e-01, 1.99669832e-01, 9.90189543e+00, 3.38842432e+02
6.01202504e+00, 8.45843458e-01, 1.42612155e-01, 8.57387845e-01, 1.42602155e-01, 9.56530893e+00, 4.74433614e+02
8.01603306e+00, 9.55015495e-01, 1.10913524e-01, 8.89086476e-01, 1.10903524e-01, 9.31393102e+00, 6.10024797e+02
1.00200411e+01, 1.04218321e+00, 9.07437634e-02, 9.09256237e-01, 9.07337635e-02, 9.11321993e+00, 7.45615979e+02
1.20240491e+01, 1.11474602e+00, 7.67810374e-02, 9.23218963e-01, 7.67710375e-02, 8.94613789e+00, 8.81207161e+02
1.40280571e+01, 1.17690284e+00, 6.65422013e-02, 9.33457799e-01, 6.65322014e-02, 8.80301654e+00, 1.01679834e+03
1.60320651e+01, 1.23126731e+00, 5.87127863e-02, 9.41287214e-01, 5.87027864e-02, 8.67783771e+00, 1.15238953e+03
1.80360731e+01, 1.27957736e+00, 5.25318427e-02, 9.47468157e-01, 5.25218428e-02, 8.56659970e+00, 1.28798071e+03
2.00400811e+01, 1.32304741e+00, 4.75283338e-02, 9.52471666e-01, 4.75183339e-02, 8.46650622e+00, 1.42357189e+03
2.20440892e+01, 1.36255955e+00, 4.33950760e-02, 9.56604924e-01, 4.33850761e-02, 8.37552616e+00, 1.55916307e+03
2.40480972e+01, 1.39877474e+00, 3.99231923e-02, 9.60076808e-01, 3.99131924e-02, 8.29213760e+00, 1.69475425e+03
2.60521052e+01, 1.43220107e+00, 3.69656998e-02, 9.63034300e-01, 3.69556999e-02, 8.21517064e+00, 1.83034544e+03
2.80561132e+01, 1.46323752e+00, 3.44161655e-02, 9.65583835e-01, 3.44061656e-02, 8.14370657e+00, 1.96593662e+03
3.00601212e+01, 1.49220315e+00, 3.21956245e-02, 9.67804375e-01, 3.21856246e-02, 8.07701074e+00, 2.10152780e+03
3.20641292e+01, 1.51935709e+00, 3.02442563e-02, 9.69755744e-01, 3.02342564e-02, 8.01448648e+00, 2.23711898e+03
3.40681372e+01, 1.54491270e+00, 2.85159144e-02, 9.71484086e-01, 2.85059145e-02, 7.95564252e+00, 2.37271017e+03
3.60721453e+01, 1.56904772e+00, 2.69744303e-02, 9.73025570e-01, 2.69644304e-02, 7.90006958e+00, 2.50830135e+03
3.80761533e+01, 1.59191180e+00, 2.55910553e-02, 9.74408945e-01, 2.55810554e-02, 7.84742307e+00, 2.64389253e+03
4.00801613e+01, 1.61363214e+00, 2.43426503e-02, 9.75657350e-01, 2.43326504e-02, 7.79741015e+00, 2.77948371e+03
4.20841693e+01, 1.63431772e+00, 2.32103814e-02, 9.76789619e-01, 2.32003815e-02, 7.74977984e+00, 2.91507489e+03
4.40881773e+01, 1.65406268e+00, 2.21787630e-02, 9.77821237e-01, 2.21687631e-02, 7.70431540e+00, 3.05066608e+03
4.60921853e+01, 1.67294884e+00, 2.12349457e-02, 9.78765054e-01, 2.12249458e-02, 7.66082839e+00, 3.18625726e+03
4.80961933e+01, 1.69104782e+00, 2.03681779e-02, 9.79631822e-01, 2.03581780e-02, 7.61915396e+00, 3.32184844e+03
5.01002014e+01, 1.70842261e+00, 1.95693945e-02, 9.80430605e-01, 1.95593946e-02, 7.57914703e+00, 3.45743962e+03
5.21042094e+01, 1.72512895e+00, 1.88308989e-02, 9.81169101e-01, 1.88208990e-02, 7.54067927e+00, 3.59303081e+03
5.41082174e+01, 1.74121636e+00, 1.81461141e-02, 9.81853886e-01, 1.81361142e-02, 7.50363662e+00, 3.72862199e+03
5.61122254e+01, 1.75672908e+00, 1.75093860e-02, 9.82490614e-01, 1.74993861e-02, 7.46791727e+00, 3.86421317e+03
5.81162334e+01, 1.77170676e+00, 1.69158274e-02, 9.83084173e-01, 1.69058275e-02, 7.43342990e+00, 3.99980435e+03
6.01202414e+01, 1.78618506e+00, 1.63611919e-02, 9.83638808e-01, 1.63511920e-02, 7.40009237e+00, 4.13539553e+03
6.21242494e+01, 1.80019623e+00, 1.58417725e-02, 9.84158227e-01, 1.58317726e-02, 7.36783047e+00, 4.27098672e+03
6.41282574e+01, 1.81376946e+00, 1.53543184e-02, 9.84645682e-01, 1.53443185e-02, 7.33657695e+00, 4.40657790e+03
6.61322655e+01, 1.82693130e+00, 1.48959668e-02, 9.85104033e-01, 1.48859669e-02, 7.30627068e+00, 4.54216908e+03
6.81362735e+01, 1.83970597e+00, 1.44641872e-02, 9.85535813e-01, 1.44541873e-02, 7.27685593e+00, 4.67776026e+03
7.01402815e+01, 1.85211558e+00, 1.40567338e-02, 9.85943266e-01, 1.40467339e-02, 7.24828174e+00, 4.81335145e+03
7.21442895e+01, 1.86418043e+00, 1.36716073e-02, 9.86328393e-01, 1.36616074e-02, 7.22050141e+00, 4.94894263e+03
7.41482975e+01, 1.87591915e+00, 1.33070214e-02, 9.86692979e-01, 1.32970215e-02, 7.19347200e+00, 5.08453381e+03
7.61523055e+01, 1.88734891e+00, 1.29613755e-02, 9.87038625e-01, 1.29513756e-02, 7.16715400e+00, 5.22012499e+03
7.81563135e+01, 1.89848556e+00, 1.26332311e-02, 9.87366769e-01, 1.26232312e-02, 7.14151091e+00, 5.35571617e+03
8.01603216e+01, 1.90934376e+00, 1.23212917e-02, 9.87678708e-01, 1.23112918e-02, 7.11650899e+00, 5.49130736e+03
8.21643296e+01, 1.91993709e+00, 1.20243860e-02, 9.87975614e-01, 1.20143861e-02, 7.09211694e+00, 5.62689854e+03
8.41683376e+01, 1.93027817e+00, 1.17414526e-02, 9.88258547e-01, 1.17314527e-02, 7.06830572e+00, 5.76248972e+03
8.61723456e+01, 1.94037873e+00, 1.14715280e-02, 9.88528472e-01, 1.14615281e-02, 7.04504832e+00, 5.89808090e+03
8.81763536e+01, 1.95024971e+00, 1.12137350e-02, 9.88786265e-01, 1.12037351e-02, 7.02231955e+00, 6.03367209e+03
9.01803616e+01, 1.95990131e+00, 1.09672739e-02, 9.89032726e-01, 1.09572740e-02, 7.00009592e+00, 6.16926327e+03
9.21843696e+01, 1.96934307e+00, 1.07314135e-02, 9.89268587e-01, 1.07214136e-02, 6.97835546e+00, 6.30485445e+03
9.41883777e+01, 1.97858392e+00, 1.05054842e-02, 9.89494516e-01, 1.04954843e-02, 6.95707761e+00, 6.44044563e+03
9.61923857e+01, 1.98763224e+00, 1.02888718e-02, 9.89711128e-01, 1.02788719e-02, 6.93624309e+00, 6.57603681e+03
9.81963937e+01, 1.99649588e+00, 1.00810116e-02, 9.89918988e-01, 1.00710117e-02, 6.91583381e+00, 6.71162800e+03
1.00200402e+02, 2.00518224e+00, 9.88138370e-03, 9.90118616e-01, 9.87138380e-03, 6.89583274e+00, 6.84721918e+03
1.02204410e+02, 2.01369825e+00, 9.68950845e-03, 9.90310492e-01, 9.67950855e-03, 6.87622388e+00, 6.98281036e+03
1.04208418e+02, 2.02205049e+00, 9.50494287e-03, 9.90495057e-01, 9.49494297e-03, 6.85699215e+00, 7.11840154e+03
1.06212426e+02, 2.03024512e+00, 9.32727707e-03, 9.90672723e-01, 9.31727717e-03, 6.83812331e+00, 7.25399273e+03
1.08216434e+02, 2.03828799e+00, 9.15613123e-03, 9.90843869e-01, 9.14613133e-03, 6.81960392e+00, 7.38958391e+03
