z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H(z) 
1.00000000e-06, 4.34294265e-07, 9.99999000e-01, 9.99999500e-07, 1.15129345e+01, 1.00000000e+05, 6.76600000e+01
2.00400901e+00, 4.77701232e-01, 3.32888482e-01, 1.09994773e+00, 1.04129877e+01, 9.99979960e+04, 6.76600000e+01
4.00801703e+00, 6.99665797e-01, 1.99679832e-01, 1.61104003e+00, 9.90189543e+00, 9.99959920e+04, 6.76600000e+01
6.01202504e+00, 8.45843458e-01, 1.42612155e-01, 1.94762654e+00, 9.56530893e+00, 9.99939880e+04, 6.76600000e+01
8.01603306e+00, 9.55015495e-01, 1.10913524e-01, 2.19900444e+00, 9.31393102e+00, 9.99919840e+04, 6.76600000e+01
1.00200411e+01, 1.04218321e+00, 9.07437634e-02, 2.39971553e+00, 9.11321993e+00, 9.99899800e+04, 6.76600000e+01
1.20240491e+01, 1.11474602e+00, 7.67810374e-02, 2.56679758e+00, 8.94613789e+00, 9.99879760e+04, 6.76600000e+01
1.40280571e+01, 1.17690284e+00, 6.65422013e-02, 2.70991893e+00, 8.80301654e+00, 9.99859719e+04, 6.76600000e+01
1.60320651e+01, 1.23126731e+00, 5.87127863e-02, 2.83509775e+00, 8.67783771e+00, 9.99839679e+04, 6.76600000e+01
1.80360731e+01, 1.27957736e+00, 5.25318427e-02, 2.94633576e+00, 8.56659970e+00, 9.99819639e+04, 6.76600000e+01
2.00400811e+01, 1.32304741e+00, 4.75283338e-02, 3.04642924e+00, 8.46650622e+00, 9.99799599e+04, 6.76600000e+01
2.20440892e+01, 1.36255955e+00, 4.33950760e-02, 3.13740930e+00, 8.37552616e+00, 9.99779559e+04, 6.76600000e+01
2.40480972e+01, 1.39877474e+00, 3.99231923e-02, 3.22079786e+00, 8.29213760e+00, 9.99759519e+04, 6.76600000e+01
2.60521052e+01, 1.43220107e+00, 3.69656998e-02, 3.29776483e+00, 8.21517064e+00, 9.99739479e+04, 6.76600000e+01
2.80561132e+01, 1.46323752e+00, 3.44161655e-02, 3.36922890e+00, 8.14370657e+00, 9.99719439e+04, 6.76600000e+01
3.00601212e+01, 1.49220315e+00, 3.21956245e-02, 3.43592472e+00, 8.07701074e+00, 9.99699399e+04, 6.76600000e+01
3.20641292e+01, 1.51935709e+00, 3.02442563e-02, 3.49844899e+00, 8.01448648e+00, 9.99679359e+04, 6.76600000e+01
3.40681372e+01, 1.54491270e+00, 2.85159144e-02, 3.55729295e+00, 7.95564252e+00, 9.99659319e+04, 6.76600000e+01
3.60721453e+01, 1.56904772e+00, 2.69744303e-02, 3.61286589e+00, 7.90006958e+00, 9.99639279e+04, 6.76600000e+01
3.80761533e+01, 1.59191180e+00, 2.55910553e-02, 3.66551239e+00, 7.84742307e+00, 9.99619238e+04, 6.76600000e+01
4.00801613e+01, 1.61363214e+00, 2.43426503e-02, 3.71552531e+00, 7.79741015e+00, 9.99599198e+04, 6.76600000e+01
4.20841693e+01, 1.63431772e+00, 2.32103814e-02, 3.76315563e+00, 7.74977984e+00, 9.99579158e+04, 6.76600000e+01
4.40881773e+01, 1.65406268e+00, 2.21787630e-02, 3.80862007e+00, 7.70431540e+00, 9.99559118e+04, 6.76600000e+01
4.60921853e+01, 1.67294884e+00, 2.12349457e-02, 3.85210707e+00, 7.66082839e+00, 9.99539078e+04, 6.76600000e+01
4.80961933e+01, 1.69104782e+00, 2.03681779e-02, 3.89378150e+00, 7.61915396e+00, 9.99519038e+04, 6.76600000e+01
5.01002014e+01, 1.70842261e+00, 1.95693945e-02, 3.93378844e+00, 7.57914703e+00, 9.99498998e+04, 6.76600000e+01
5.21042094e+01, 1.72512895e+00, 1.88308989e-02, 3.97225620e+00, 7.54067927e+00, 9.99478958e+04, 6.76600000e+01
5.41082174e+01, 1.74121636e+00, 1.81461141e-02, 4.00929884e+00, 7.50363662e+00, 9.99458918e+04, 6.76600000e+01
5.61122254e+01, 1.75672908e+00, 1.75093860e-02, 4.04501820e+00, 7.46791727e+00, 9.99438878e+04, 6.76600000e+01
5.81162334e+01, 1.77170676e+00, 1.69158274e-02, 4.07950556e+00, 7.43342990e+00, 9.99418838e+04, 6.76600000e+01
6.01202414e+01, 1.78618506e+00, 1.63611919e-02, 4.11284309e+00, 7.40009237e+00, 9.99398798e+04, 6.76600000e+01
6.21242494e+01, 1.80019623e+00, 1.58417725e-02, 4.14510500e+00, 7.36783047e+00, 9.99378758e+04, 6.76600000e+01
6.41282574e+01, 1.81376946e+00, 1.53543184e-02, 4.17635852e+00, 7.33657695e+00, 9.99358717e+04, 6.76600000e+01
6.61322655e+01, 1.82693130e+00, 1.48959668e-02, 4.20666478e+00, 7.30627068e+00, 9.99338677e+04, 6.76600000e+01
6.81362735e+01, 1.83970597e+00, 1.44641872e-02, 4.23607953e+00, 7.27685593e+00, 9.99318637e+04, 6.76600000e+01
7.01402815e+01, 1.85211558e+00, 1.40567338e-02, 4.26465372e+00, 7.24828174e+00, 9.99298597e+04, 6.76600000e+01
7.21442895e+01, 1.86418043e+00, 1.36716073e-02, 4.29243406e+00, 7.22050141e+00, 9.99278557e+04, 6.76600000e+01
7.41482975e+01, 1.87591915e+00, 1.33070214e-02, 4.31946346e+00, 7.19347200e+00, 9.99258517e+04, 6.76600000e+01
7.61523055e+01, 1.88734891e+00, 1.29613755e-02, 4.34578146e+00, 7.16715400e+00, 9.99238477e+04, 6.76600000e+01
7.81563135e+01, 1.89848556e+00, 1.26332311e-02, 4.37142455e+00, 7.14151091e+00, 9.99218437e+04, 6.76600000e+01
8.01603216e+01, 1.90934376e+00, 1.23212917e-02, 4.39642648e+00, 7.11650899e+00, 9.99198397e+04, 6.76600000e+01
8.21643296e+01, 1.91993709e+00, 1.20243860e-02, 4.42081852e+00, 7.09211694e+00, 9.99178357e+04, 6.76600000e+01
8.41683376e+01, 1.93027817e+00, 1.17414526e-02, 4.44462974e+00, 7.06830572e+00, 9.99158317e+04, 6.76600000e+01
8.61723456e+01, 1.94037873e+00, 1.14715280e-02, 4.46788714e+00, 7.04504832e+00, 9.99138277e+04, 6.76600000e+01
8.81763536e+01, 1.95024971e+00, 1.12137350e-02, 4.49061591e+00, 7.02231955e+00, 9.99118236e+04, 6.76600000e+01
9.01803616e+01, 1.95990131e+00, 1.09672739e-02, 4.51283954e+00, 7.00009592e+00, 9.99098196e+04, 6.76600000e+01
9.21843696e+01, 1.96934307e+00, 1.07314135e-02, 4.53458000e+00, 6.97835546e+00, 9.99078156e+04, 6.76600000e+01
9.41883777e+01, 1.97858392e+00, 1.05054842e-02, 4.55585785e+00, 6.95707761e+00, 9.99058116e+04, 6.76600000e+01
9.61923857e+01, 1.98763224e+00, 1.02888718e-02, 4.57669237e+00, 6.93624309e+00, 9.99038076e+04, 6.76600000e+01
9.81963937e+01, 1.99649588e+00, 1.00810116e-02, 4.59710166e+00, 6.91583381e+00, 9.99018036e+04, 6.76600000e+01
1.00200402e+02, 2.00518224e+00, 9.88138370e-03, 4.61710273e+00, 6.89583274e+00, 9.98997996e+04, 6.76600000e+01
1.02204410e+02, 2.01369825e+00, 9.68950845e-03, 4.63671158e+00, 6.87622388e+00, 9.98977956e+04, 6.76600000e+01
1.04208418e+02, 2.02205049e+00, 9.50494287e-03, 4.65594331e+00, 6.85699215e+00, 9.98957916e+04, 6.76600000e+01
1.06212426e+02, 2.03024512e+00, 9.32727707e-03, 4.67481215e+00, 6.83812331e+00, 9.98937876e+04, 6.76600000e+01
1.08216434e+02, 2.03828799e+00, 9.15613123e-03, 4.69333154e+00, 6.81960392e+00, 9.98917836e+04, 6.76600000e+01
