z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H(z) 
1.00000000e-06, 4.34294265e-07, 9.99999000e-01, 9.99998750e-07, 6.66665646e-01, 1.99367448e+00, 6.76601015e+01
2.00400901e+00, 4.77701232e-01, 3.32888482e-01, 5.38623356e-01, 1.28043289e-01, 1.14760525e+00, 3.52276636e+02
4.00801703e+00, 6.99665797e-01, 1.99679832e-01, 6.07181313e-01, 5.94853323e-02, 8.87386464e-01, 7.58281899e+02
6.01202504e+00, 8.45843458e-01, 1.42612155e-01, 6.30762607e-01, 3.59040383e-02, 7.48955966e-01, 1.25631105e+03
8.01603306e+00, 9.55015495e-01, 1.10913524e-01, 6.42041142e-01, 2.46255039e-02, 6.59749118e-01, 1.83170376e+03
1.00200411e+01, 1.04218321e+00, 9.07437634e-02, 6.48443077e-01, 1.82235683e-02, 5.96149587e-01, 2.47518015e+03
1.20240491e+01, 1.11474602e+00, 7.67810374e-02, 6.52482961e-01, 1.41836844e-02, 5.47863305e-01, 3.18017508e+03
1.40280571e+01, 1.17690284e+00, 6.65422013e-02, 6.55223282e-01, 1.14433633e-02, 5.09590978e-01, 3.94172433e+03
1.60320651e+01, 1.23126731e+00, 5.87127863e-02, 6.57182312e-01, 9.48433341e-03, 4.78289906e-01, 4.75590265e+03
1.80360731e+01, 1.27957736e+00, 5.25318427e-02, 6.58639862e-01, 8.02678358e-03, 4.52071998e-01, 5.61950472e+03
2.00400811e+01, 1.32304741e+00, 4.75283338e-02, 6.59758901e-01, 6.90774505e-03, 4.29695356e-01, 6.52984856e+03
2.20440892e+01, 1.36255955e+00, 4.33950760e-02, 6.60640108e-01, 6.02653803e-03, 4.10305173e-01, 7.48464685e+03
2.40480972e+01, 1.39877474e+00, 3.99231923e-02, 6.61348687e-01, 5.31795809e-03, 3.93291253e-01, 8.48191864e+03
2.60521052e+01, 1.43220107e+00, 3.69656998e-02, 6.61928535e-01, 4.73811075e-03, 3.78204798e-01, 9.51992648e+03
2.80561132e+01, 1.46323752e+00, 3.44161655e-02, 6.62410168e-01, 4.25647720e-03, 3.64707364e-01, 1.05971302e+04
3.00601212e+01, 1.49220315e+00, 3.21956245e-02, 6.62815396e-01, 3.85124941e-03, 3.52538261e-01, 1.17121523e+04
3.20641292e+01, 1.51935709e+00, 3.02442563e-02, 6.63160173e-01, 3.50647297e-03, 3.41492994e-01, 1.28637511e+04
3.40681372e+01, 1.54491270e+00, 2.85159144e-02, 6.63456410e-01, 3.21023513e-03, 3.31408592e-01, 1.40507996e+04
3.60721453e+01, 1.56904772e+00, 2.69744303e-02, 6.63713165e-01, 2.95348020e-03, 3.22153362e-01, 1.52722692e+04
3.80761533e+01, 1.59191180e+00, 2.55910553e-02, 6.63937431e-01, 2.72921456e-03, 3.13619567e-01, 1.65272159e+04
4.00801613e+01, 1.61363214e+00, 2.43426503e-02, 6.64134685e-01, 2.53196043e-03, 3.05718103e-01, 1.78147693e+04
4.20841693e+01, 1.63431772e+00, 2.32103814e-02, 6.64309273e-01, 2.35737282e-03, 2.98374550e-01, 1.91341238e+04
4.40881773e+01, 1.65406268e+00, 2.21787630e-02, 6.64464680e-01, 2.20196577e-03, 2.91526198e-01, 2.04845304e+04
4.60921853e+01, 1.67294884e+00, 2.12349457e-02, 6.64603732e-01, 2.06291359e-03, 2.85119781e-01, 2.18652909e+04
4.80961933e+01, 1.69104782e+00, 2.03681779e-02, 6.64728741e-01, 1.93790412e-03, 2.79109727e-01, 2.32757522e+04
5.01002014e+01, 1.70842261e+00, 1.95693945e-02, 6.64841616e-01, 1.82502916e-03, 2.73456780e-01, 2.47153014e+04
5.21042094e+01, 1.72512895e+00, 1.88308989e-02, 6.64943944e-01, 1.72270139e-03, 2.68126922e-01, 2.61833623e+04
5.41082174e+01, 1.74121636e+00, 1.81461141e-02, 6.65037055e-01, 1.62959085e-03, 2.63090503e-01, 2.76793915e+04
5.61122254e+01, 1.75672908e+00, 1.75093860e-02, 6.65122070e-01, 1.54457567e-03, 2.58321549e-01, 2.92028756e+04
5.81162334e+01, 1.77170676e+00, 1.69158274e-02, 6.65199942e-01, 1.46670363e-03, 2.53797197e-01, 3.07533284e+04
6.01202414e+01, 1.78618506e+00, 1.63611919e-02, 6.65271484e-01, 1.39516183e-03, 2.49497226e-01, 3.23302889e+04
6.21242494e+01, 1.80019623e+00, 1.58417725e-02, 6.65337393e-01, 1.32925258e-03, 2.45403683e-01, 3.39333186e+04
6.41282574e+01, 1.81376946e+00, 1.53543184e-02, 6.65398272e-01, 1.26837401e-03, 2.41500563e-01, 3.55620003e+04
6.61322655e+01, 1.82693130e+00, 1.48959668e-02, 6.65454641e-01, 1.21200450e-03, 2.37773545e-01, 3.72159362e+04
6.81362735e+01, 1.83970597e+00, 1.44641872e-02, 6.65506956e-01, 1.15968996e-03, 2.34209775e-01, 3.88947464e+04
7.01402815e+01, 1.85211558e+00, 1.40567338e-02, 6.65555612e-01, 1.11103344e-03, 2.30797671e-01, 4.05980676e+04
7.21442895e+01, 1.86418043e+00, 1.36716073e-02, 6.65600959e-01, 1.06568662e-03, 2.27526773e-01, 4.23255521e+04
7.41482975e+01, 1.87591915e+00, 1.33070214e-02, 6.65643303e-01, 1.02334265e-03, 2.24387603e-01, 4.40768665e+04
7.61523055e+01, 1.88734891e+00, 1.29613755e-02, 6.65682915e-01, 9.83730352e-04, 2.21371550e-01, 4.58516909e+04
7.81563135e+01, 1.89848556e+00, 1.26332311e-02, 6.65720036e-01, 9.46609217e-04, 2.18470771e-01, 4.76497179e+04
8.01603216e+01, 1.90934376e+00, 1.23212917e-02, 6.65754880e-01, 9.11765302e-04, 2.15678105e-01, 4.94706518e+04
8.21643296e+01, 1.91993709e+00, 1.20243860e-02, 6.65787638e-01, 8.79007719e-04, 2.12986999e-01, 5.13142079e+04
8.41683376e+01, 1.93027817e+00, 1.17414526e-02, 6.65818480e-01, 8.48165672e-04, 2.10391444e-01, 5.31801122e+04
8.61723456e+01, 1.94037873e+00, 1.14715280e-02, 6.65847560e-01, 8.19085929e-04, 2.07885915e-01, 5.50680999e+04
8.81763536e+01, 1.95024971e+00, 1.12137350e-02, 6.65875015e-01, 7.91630667e-04, 2.05465325e-01, 5.69779158e+04
9.01803616e+01, 1.95990131e+00, 1.09672739e-02, 6.65900970e-01, 7.65675619e-04, 2.03124982e-01, 5.89093131e+04
9.21843696e+01, 1.96934307e+00, 1.07314135e-02, 6.65925537e-01, 7.41108475e-04, 2.00860548e-01, 6.08620534e+04
9.41883777e+01, 1.97858392e+00, 1.05054842e-02, 6.65948818e-01, 7.17827511e-04, 1.98668005e-01, 6.28359059e+04
