z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H(z) 
1.00000000e-06, 4.34294265e-07, 9.99999000e-01, 9.99998500e-07, 4.99999000e-01, 9.99989000e-01, 6.76601353e+01
2.00400901e+00, 4.77701232e-01, 3.32888482e-01, 4.44592629e-01, 5.54073706e-02, 3.32878482e-01, 6.10568587e+02
4.00801703e+00, 6.99665797e-01, 1.99679832e-01, 4.80063982e-01, 1.99360177e-02, 1.99669832e-01, 1.69692867e+03
6.01202504e+00, 8.45843458e-01, 1.42612155e-01, 4.89830887e-01, 1.01691133e-02, 1.42602155e-01, 3.32674038e+03
8.01603306e+00, 9.55015495e-01, 1.10913524e-01, 4.93849095e-01, 6.15090487e-03, 1.10903524e-01, 5.50000373e+03
1.00200411e+01, 1.04218321e+00, 9.07437634e-02, 4.95882785e-01, 4.11721525e-03, 9.07337635e-02, 8.21671871e+03
1.20240491e+01, 1.11474602e+00, 7.67810374e-02, 4.97052336e-01, 2.94766380e-03, 7.67710375e-02, 1.14768853e+04
1.40280571e+01, 1.17690284e+00, 6.65422013e-02, 4.97786068e-01, 2.21393222e-03, 6.65322014e-02, 1.52805036e+04
1.60320651e+01, 1.23126731e+00, 5.87127863e-02, 4.98276404e-01, 1.72359559e-03, 5.87027864e-02, 1.96275734e+04
1.80360731e+01, 1.27957736e+00, 5.25318427e-02, 4.98620203e-01, 1.37979720e-03, 5.25218428e-02, 2.45180949e+04
2.00400811e+01, 1.32304741e+00, 4.75283338e-02, 4.98870529e-01, 1.12947121e-03, 4.75183339e-02, 2.99520681e+04
2.20440892e+01, 1.36255955e+00, 4.33950760e-02, 4.99058434e-01, 9.41566260e-04, 4.33850761e-02, 3.59294928e+04
2.40480972e+01, 1.39877474e+00, 3.99231923e-02, 4.99203069e-01, 7.96930592e-04, 3.99131924e-02, 4.24503692e+04
2.60521052e+01, 1.43220107e+00, 3.69656998e-02, 4.99316769e-01, 6.83231432e-04, 3.69556999e-02, 4.95146973e+04
2.80561132e+01, 1.46323752e+00, 3.44161655e-02, 4.99407764e-01, 5.92236173e-04, 3.44061656e-02, 5.71224769e+04
3.00601212e+01, 1.49220315e+00, 3.21956245e-02, 4.99481721e-01, 5.18279069e-04, 3.21856246e-02, 6.52737082e+04
3.20641292e+01, 1.51935709e+00, 3.02442563e-02, 4.99542642e-01, 4.57357471e-04, 3.02342564e-02, 7.39683912e+04
3.40681372e+01, 1.54491270e+00, 2.85159144e-02, 4.99593421e-01, 4.06578637e-04, 2.85059145e-02, 8.32065257e+04
