z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H(z) 
1.00000000e-06, 4.34294265e-07, 9.99999000e-01, 9.99999275e-07, 9.78862722e-01, 3.32530333e+00, 6.76600304e+01
2.00400901e+00, 4.77701232e-01, 3.32888482e-01, 7.46476704e-01, 2.32387018e-01, 2.09016038e+00, 1.97240460e+02
4.00801703e+00, 6.99665797e-01, 1.99679832e-01, 8.70336746e-01, 1.08526976e-01, 1.61966701e+00, 4.16469946e+02
6.01202504e+00, 8.45843458e-01, 1.42612155e-01, 9.13323356e-01, 6.55403654e-02, 1.36730603e+00, 6.88563536e+02
8.01603306e+00, 9.55015495e-01, 1.10913524e-01, 9.33906477e-01, 4.49572449e-02, 1.20450368e+00, 1.00348930e+03
1.00200411e+01, 1.04218321e+00, 9.07437634e-02, 9.45592981e-01, 3.32707409e-02, 1.08840477e+00, 1.35583836e+03
1.20240491e+01, 1.11474602e+00, 7.67810374e-02, 9.52968271e-01, 2.58954509e-02, 1.00025234e+00, 1.74193179e+03
1.40280571e+01, 1.17690284e+00, 6.65422013e-02, 9.57971221e-01, 2.08925006e-02, 9.30379287e-01, 2.15902300e+03
1.60320651e+01, 1.23126731e+00, 5.87127863e-02, 9.61547838e-01, 1.73158841e-02, 8.73232664e-01, 2.60495107e+03
1.80360731e+01, 1.27957736e+00, 5.25318427e-02, 9.64208918e-01, 1.46548035e-02, 8.25366054e-01, 3.07795546e+03
2.00400811e+01, 1.32304741e+00, 4.75283338e-02, 9.66251980e-01, 1.26117420e-02, 7.84512361e-01, 3.57656472e+03
2.20440892e+01, 1.36255955e+00, 4.33950760e-02, 9.67860829e-01, 1.10028927e-02, 7.49111050e-01, 4.09952475e+03
2.40480972e+01, 1.39877474e+00, 3.99231923e-02, 9.69154509e-01, 9.70921256e-03, 7.18048119e-01, 4.64574978e+03
2.60521052e+01, 1.43220107e+00, 3.69656998e-02, 9.70213159e-01, 8.65056325e-03, 6.90504205e-01, 5.21428774e+03
2.80561132e+01, 1.46323752e+00, 3.44161655e-02, 9.71092496e-01, 7.77122607e-03, 6.65861413e-01, 5.80429477e+03
3.00601212e+01, 1.49220315e+00, 3.21956245e-02, 9.71832336e-01, 7.03138555e-03, 6.43643796e-01, 6.41501620e+03
3.20641292e+01, 1.51935709e+00, 3.02442563e-02, 9.72461809e-01, 6.40191331e-03, 6.23478006e-01, 7.04577177e+03
3.40681372e+01, 1.54491270e+00, 2.85159144e-02, 9.73002662e-01, 5.86105982e-03, 6.05066504e-01, 7.69594420e+03
3.60721453e+01, 1.56904772e+00, 2.69744303e-02, 9.73471430e-01, 5.39229184e-03, 5.88168851e-01, 8.36497000e+03
3.80761533e+01, 1.59191180e+00, 2.55910553e-02, 9.73880881e-01, 4.98284083e-03, 5.72588351e-01, 9.05233208e+03
4.00801613e+01, 1.61363214e+00, 2.43426503e-02, 9.74241016e-01, 4.62270583e-03, 5.58162323e-01, 9.75755371e+03
4.20841693e+01, 1.63431772e+00, 2.32103814e-02, 9.74559768e-01, 4.30395399e-03, 5.44754893e-01, 1.04801936e+04
4.40881773e+01, 1.65406268e+00, 2.21787630e-02, 9.74843501e-01, 4.02022090e-03, 5.32251572e-01, 1.12198414e+04
4.60921853e+01, 1.67294884e+00, 2.12349457e-02, 9.75097374e-01, 3.76634754e-03, 5.20555111e-01, 1.19761149e+04
4.80961933e+01, 1.69104782e+00, 2.03681779e-02, 9.75325609e-01, 3.53811256e-03, 5.09582306e-01, 1.27486561e+04
5.01002014e+01, 1.70842261e+00, 1.95693945e-02, 9.75531690e-01, 3.33203204e-03, 4.99261485e-01, 1.35371295e+04
5.21042094e+01, 1.72512895e+00, 1.88308989e-02, 9.75718514e-01, 3.14520798e-03, 4.89530540e-01, 1.43412194e+04
5.41082174e+01, 1.74121636e+00, 1.81461141e-02, 9.75888510e-01, 2.97521218e-03, 4.80335339e-01, 1.51606282e+04
5.61122254e+01, 1.75672908e+00, 1.75093860e-02, 9.76043726e-01, 2.81999641e-03, 4.71628463e-01, 1.59950747e+04
5.81162334e+01, 1.77170676e+00, 1.69158274e-02, 9.76185900e-01, 2.67782217e-03, 4.63368163e-01, 1.68442926e+04
6.01202414e+01, 1.78618506e+00, 1.63611919e-02, 9.76316517e-01, 2.54720533e-03, 4.55517527e-01, 1.77080293e+04
6.21242494e+01, 1.80019623e+00, 1.58417725e-02, 9.76436850e-01, 2.42687205e-03, 4.48043774e-01, 1.85860448e+04
6.41282574e+01, 1.81376946e+00, 1.53543184e-02, 9.76547998e-01, 2.31572350e-03, 4.40917685e-01, 1.94781104e+04
6.61322655e+01, 1.82693130e+00, 1.48959668e-02, 9.76650915e-01, 2.21280733e-03, 4.34113113e-01, 2.03840084e+04
6.81362735e+01, 1.83970597e+00, 1.44641872e-02, 9.76746427e-01, 2.11729448e-03, 4.27606588e-01, 2.13035305e+04
7.01402815e+01, 1.85211558e+00, 1.40567338e-02, 9.76835262e-01, 2.02846025e-03, 4.21376968e-01, 2.22364779e+04
7.21442895e+01, 1.86418043e+00, 1.36716073e-02, 9.76918053e-01, 1.94566865e-03, 4.15405153e-01, 2.31826601e+04
7.41482975e+01, 1.87591915e+00, 1.33070214e-02, 9.76995362e-01, 1.86835950e-03, 4.09673839e-01, 2.41418945e+04
7.61523055e+01, 1.88734891e+00, 1.29613755e-02, 9.77067684e-01, 1.79603767e-03, 4.04167304e-01, 2.51140058e+04
7.81563135e+01, 1.89848556e+00, 1.26332311e-02, 9.77135458e-01, 1.72826406e-03, 3.98871230e-01, 2.60988257e+04
8.01603216e+01, 1.90934376e+00, 1.23212917e-02, 9.77199074e-01, 1.66464807e-03, 3.93772543e-01, 2.70961923e+04
8.21643296e+01, 1.91993709e+00, 1.20243860e-02, 9.77258881e-01, 1.60484118e-03, 3.88859279e-01, 2.81059495e+04
